FO_ROW_ID,ResTk,ResWBS,EVENT_ROW_ID,USER_ID,DATE_TIME_STAMP
79,4169060,30990/32063,947359459,rahmat49,11/8/2022 14:00
79,NULL,NULL,947382332,rahmat49,11/8/2022 14:57
261,4167087,00999/00505,945384576,redants,10/31/2022 6:42
261,NULL,NULL,945393839,redants,10/31/2022 7:36
264,N/a,39424/01222,946105217,gomezg80,11/3/2022 11:11
264,NULL,NULL,946139070,1f8psvc,11/3/2022 13:01
264,N/a,39424/01222,946164540,gomezg80,11/3/2022 14:34
264,NULL,NULL,946213365,gomezg80,11/3/2022 17:03
264,N/a,39424/01224,946672487,gomezg80,11/5/2022 10:01
264,NULL,NULL,946709877,gomezg80,11/5/2022 14:10
264,N/a,39424/01222,946837820,gomezg80,11/6/2022 8:54
264,NULL,NULL,946846946,gomezg80,11/6/2022 10:17
429,4166980,30990/32063,945455294,hsingy35,10/31/2022 12:20
429,NULL,NULL,945455384,hsingy35,10/31/2022 12:21
429,4167356,30990/32063,945787115,hsingy35,11/2/2022 10:04
429,NULL,NULL,945802617,hsingy35,11/2/2022 10:55
429,4166993,30990/32063,945832506,hsingy35,11/2/2022 12:09
429,NULL,NULL,945846176,hsingy35,11/2/2022 13:08
429,4167796,30990/32063,946131957,marian80,11/3/2022 12:23
429,NULL,NULL,946139597,marian80,11/3/2022 13:06
695,4168764,32299/00352,947263805,wellens,11/8/2022 7:23
695,NULL,NULL,947273351,1f8psvc,11/8/2022 8:19
695,NULL,NULL,947299308,wellens,11/8/2022 10:45
704,4167406,31499/01715,945804879,witterst,11/2/2022 11:08
704,NULL,NULL,945902558,witterst,11/2/2022 16:56
736,4167165,31499/00880,945438182,groven85,10/31/2022 10:41
736,NULL,NULL,947296881,1f8psvc,11/8/2022 10:35
938,4167782,31399/00039,946756720,raymaek,11/5/2022 18:49
938,NULL,NULL,946774090,raymaek,11/5/2022 21:11
938,4169517,31399/00039,947889378,heylen,11/10/2022 10:12
938,NULL,NULL,947889438,heylen,11/10/2022 10:13
938,N/a,31399/00055,947889495,heylen,11/10/2022 10:13
938,NULL,NULL,947994116,heylen,11/10/2022 16:19
938,4170258,31399/00039,948240741,raymaek,11/14/2022 7:10
938,NULL,NULL,948270708,raymaek,11/14/2022 9:12
938,4170258,31399/00039,948292233,raymaek,11/14/2022 10:02
938,NULL,NULL,948354575,heylen,11/14/2022 13:56
1073,4168022,32099/01506,946365611,vdweeg61,11/4/2022 7:10
1073,NULL,NULL,946447285,ceulem72,11/4/2022 13:33
1073,4167542,32102/01048,946447810,ceulem72,11/4/2022 13:36
1073,NULL,NULL,946582788,ceulem72,11/4/2022 22:03
1073,4167788,31399/00039,946935240,raymaek,11/6/2022 22:00
1073,NULL,NULL,946962095,1f8psvc,11/7/2022 4:09
1073,4169982,37093/02175,948355890,ceulem72,11/14/2022 14:03
1073,NULL,NULL,948479557,ceulem72,11/14/2022 20:38
1249,4169500,30990/32063,947658683,homkar65,11/9/2022 13:06
1249,NULL,NULL,947673204,rastog28,11/9/2022 14:15
2003,N/a,98601/31507,947006007,engelen,11/7/2022 10:22
2003,NULL,NULL,947019909,engelen,11/7/2022 11:11
2020,N/a,36003/36503,945401946,stiersk,10/31/2022 9:01
2020,NULL,NULL,945428374,stiersk,10/31/2022 10:00
2020,4169840,32299/00978,948294614,nolmans,11/14/2022 10:09
2020,NULL,NULL,948324924,nolmans,11/14/2022 11:52
2172,4166939,32005/01299,945405623,kim19,10/31/2022 9:20
2172,NULL,NULL,945544061,kim19,10/31/2022 18:07
2172,4167592,32005/01299,946067647,kim19,11/3/2022 9:10
2172,NULL,NULL,946220791,kim19,11/3/2022 17:39
2172,4167594,32005/01299,946382911,stass,11/4/2022 8:55
