Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
0, p-line process - extra time,2022-11-09 10:27:34,2022-11-09 10:47:14,359,tielens,PLINE300,2022-11-09 10:00:00,2022-11-09 11:00:00,292,tielens,"",JVX7300M,36003/01225
0,200kV,2022-10-31 09:36:24,2022-10-31 16:38:17,75,richardo,PLINE300,2022-10-31 08:00:00,2022-10-31 16:00:00,318,richardo,"",TITAN,42199/00160
0,200mm TF ELD only,2022-11-04 10:03:02,2022-11-04 11:11:20,497,ghosh40,PLINE200,2022-11-04 10:00:00,2022-11-04 11:00:00,987,ghosh40,"",LASERDEBOND,98500/01852
0,400C AHM on SiO2,2022-11-03 10:27:46,2022-11-03 13:33:17,313,talmel16,PLINE300,2022-11-03 08:30:00,2022-11-03 12:00:00,1219,pasqua16,LP1;PM1,EXTREME_2,31499/01951
0,AE208489,2022-10-31 15:46:12,2022-10-31 16:18:48,477,jehoul60,PLINE300,2022-10-31 15:30:00,2022-10-31 16:30:00,1241,haider15,LP1;PM1,LAM_E6,31199/01918
0,AE217515,2022-11-10 14:34:34,2022-11-10 17:05:24,227,devul,PLINE300,2022-11-10 14:30:00,2022-11-10 18:00:00,846,devul,"",2830ZT,31499/02121
0,AE228012,2022-11-03 08:29:59,2022-11-03 09:56:17,147,roy82,PLINE300,2022-11-03 08:30:00,2022-11-03 10:00:00,718,roy82,"",TR3400,31199/00653
0,AE228012,2022-11-03 08:30:14,2022-11-03 09:56:51,150,roy82,PLINE300,2022-11-03 08:30:00,2022-11-03 10:00:00,697,roy82,"",SC3400,31199/00653
0,AL208143/1,2022-10-31 09:38:21,2022-10-31 11:18:46,371,chen70,PLINE200,2022-10-31 10:00:00,2022-10-31 11:30:00,1088,chen70,"",SAM_AW300,32299/02107
0,AL210794/3,2022-11-07 15:30:35,2022-11-07 16:44:11,372,chen70,PLINE200,2022-11-07 15:30:00,2022-11-07 17:30:00,1063,chen70,"",SAM_AW300,38199/01132
0,ASM Internal,2022-11-17 09:01:17,2022-11-17 18:17:22,476,maroza68,PLINE300,2022-11-17 08:30:00,2022-11-17 17:30:00,1144,maroza68,LP1;LP2;LP3;PM2;PM3;PM4;PM1,INTREPID_2,30990/01658
0,ATR for GeTe,2022-11-14 14:58:06,2022-11-14 15:23:27,288,sinha70,PLINE300,2022-11-14 14:00:00,2022-11-14 15:30:00,916,sinha70,"",FTIR_2,31499/00379
0,backside etch TMAH,2022-11-09 09:58:20,2022-11-09 13:40:29,8,stokhof,PLINE300,2022-11-09 10:00:00,2022-11-09 12:00:00,1306,stokhof,LP1;SM2,DNS_4,30990/02249
0,BB305 coat bond,2022-11-02 10:04:22,2022-11-02 10:37:43,445,ghosh40,PLINE200,2022-11-02 10:00:00,2022-11-02 14:00:00,1120,ghosh40,"",TEMP_BONDER,98500/01852
0,Blanket profile check,2022-11-15 15:10:15,2022-11-15 18:13:12,502,nomura57,PLINE300,2022-11-15 14:30:00,2022-11-15 18:30:00,1264,nomura57,LP1;PM_C,F_REX300X_2,31399/01183
0,Blanket test,2022-11-15 14:29:37,2022-11-15 15:24:43,490,kadir70,PLINE300,2022-11-15 14:30:00,2022-11-15 15:30:00,1178,kadir70,LP1;PM1,LAM_E6,37013/01883
0,Bonding glass/TOK to glass/ PI,2022-11-03 11:13:16,2022-11-03 15:49:07,426,wysock13,PLINE200,2022-11-03 11:00:00,2022-11-03 17:00:00,1040,wysock13,"",BONDER_200,97401/00942
0,Bonding of PAT on Glass on PI,2022-11-02 13:43:46,2022-11-02 15:51:03,425,segers56,PLINE200,2022-11-02 14:00:00,2022-11-02 18:00:00,1117,segers56,"",BONDER_200,97401/14983
0,BPR W process,2022-11-10 10:08:39,2022-11-10 10:09:50,129,sugawa19,PLINE300,2022-11-10 10:00:00,2022-11-10 17:00:00,1266,sugawa19,LP1;LP2;CL1A;CL2A;CL3A;DR_A;PM_A;PM_B,F_REX300X_1,31399/01183
0,BS Sequel TroubleShoot,2022-11-16 15:31:38,2022-11-16 16:50:02,443,jamieson,PLINE200,2022-11-16 14:00:00,2022-11-16 16:00:00,1366,jamieson,PM3,SPTS_OMEGA,98850/02081
0,BS/BVL LF development,2022-10-31 09:36:10,2022-10-31 12:24:49,504,dith82,PLINE300,2022-10-31 09:30:00,2022-10-31 13:30:00,1310,dith82,LP1;LP2;LP3;LP4;PM_R2,DVPRIME_1,36026/01967
0,BSD,2022-11-09 14:13:22,2022-11-09 16:06:01,337,cochet,PLINE300,2022-11-09 14:00:00,2022-11-09 15:30:00,752,cochet,"",NOVA200_2,32299/00013
0,C3 / TTV,2022-11-04 09:10:45,2022-11-04 13:54:11,446,guerrera,PLINE200,2022-11-04 09:00:00,2022-11-04 14:00:00,1096,guerrera,"",TEMP_BONDER,32299/00716
0,CDSEM on LS,2022-11-04 11:32:55,2022-11-04 13:53:49,352,sun57,PLINE300,2022-11-04 11:30:00,2022-11-04 14:00:00,188,sun57,"",HITACHI5000,30990/32063
0,Characterisation,2022-11-16 18:18:16,2022-11-16 19:28:17,332,pahlav81,PLINE300,2022-11-16 18:00:00,2022-11-16 19:30:00,212,pahlav81,"",NOVA200_2,97406/01185
0,check klarf recipe set up,2022-11-10 15:29:46,2022-11-10 16:05:47,377,kenis,PLINE300,2022-11-10 15:30:00,2022-11-10 16:00:00,764,kenis,"",SP5,32005/01711
0,Check lot that failed,2022-11-07 09:01:55,2022-11-07 09:58:25,370,talmel16,PLINE300,2022-11-07 09:30:00,2022-11-07 11:30:00,847,talmel16,"",MH300,31499/00432
0,check of first test Ma-N + NC50,2022-11-14 09:32:13,2022-11-14 11:22:49,340,leruth67,PLINE300,2022-11-14 09:30:00,2022-11-14 11:00:00,751,leruth67,"",NOVA200_2,44999/01882
0,check roughness,2022-11-14 10:09:41,2022-11-14 11:52:08,325,nolmans,PLINE300,2022-11-14 10:00:00,2022-11-14 12:00:00,857,nolmans,"",HRP340_2,32299/00978
0,coupon etch,2022-11-07 11:29:57,2022-11-07 12:06:25,500,chan63,PLINE300,2022-11-07 11:30:00,2022-11-07 13:00:00,1258,chan63,LP1;PM3,LAM_E6_2,32399/32869
0,coupon etch,2022-11-15 14:15:13,2022-11-15 15:56:19,474,paolil45,PLINE300,2022-11-15 14:00:00,2022-11-15 16:00:00,1355,paolil45,LP2;PM6,TEL_TACTRAS3,31199/01988
0,Coupon Etch CRAS,2022-11-02 17:08:36,2022-11-02 17:33:28,481,choudh58,PLINE300,2022-11-02 17:30:00,2022-11-02 18:30:00,1453,choudh58,PM6,LAM_E6,98850/02081
0,coupon samples for Donggyu Kim,2022-10-31 09:20:52,2022-10-31 18:07:22,5,kim19,PLINE300,2022-10-31 10:00:00,2022-10-31 17:00:00,365,ripj,"",METRIXL,32005/01299
0,Coupon Test CRAS,2022-11-02 17:08:36,2022-11-02 17:33:28,481,choudh58,PLINE300,2022-11-02 17:00:00,2022-11-02 17:30:00,1452,choudh58,PM3,LAM_E6,98850/02081
0,Coupons,2022-11-03 16:09:43,2022-11-03 16:38:21,456,renaud15,PLINE300,2022-11-03 15:30:00,2022-11-03 17:00:00,1209,renaud15,LP1;PM6,TEL_TACTRAS2,31299/01861
