Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS
2022-10-31 00:00:00,,lot processing,2022-10-31 02:00:00,,"",PLINE300,2,robber85,"",SC1000,31199/30079
2022-10-31 00:00:00,,lot processing,2022-10-31 02:00:00,,"",PLINE300,2,robber85,"",TR1000,31199/30079
2022-10-31 00:00:00,,private,2022-10-31 06:00:00,,"",PLINE300,6,fukumu91,"",H6300,31199/02019
2022-10-31 00:00:00,,RAX,2022-10-31 03:00:00,,"",PLINE300,3,kim69,"",H6300_2,31199/31147
2022-10-31 05:56:57,0,Insp,2022-10-31 08:00:00,0.6641666666666667,redants,PLINE300,2,redants,"",SEMVISION,37004/37141
2022-10-31 06:00:00,,scrnjdp,2022-10-31 08:00:00,,"",PLINE300,2,vanderey,PM,EDR7100,31199/31191
2022-10-31 06:42:14,0,Important lot,2022-10-31 09:30:00,0.9036111111111111,redants,PLINE300,2.5,redants,"",INS3300,00999/00505
2022-10-31 06:52:55,,"",2022-10-31 09:50:58,2.9675,gade18,PLINE300,,"","",HELIOS1200_2,39320/36502
2022-10-31 07:00:00,,proc dev,2022-10-31 10:00:00,,"",PLINE300,3,ramane56,"",H6300_2,31199/02273
2022-10-31 07:30:00,,APC,2022-10-31 08:00:00,,"",PLINE300,0.5,das10,"",SC3400,31199/00651
2022-10-31 07:30:00,,APC,2022-10-31 08:00:00,,"",PLINE300,0.5,das10,"",TR3400,31199/00651
2022-10-31 08:00:00,,i,2022-10-31 10:00:00,,"",PLINE300,2,iraci88,"",HELIOS1200,37092/02172
2022-10-31 08:00:00,0,200kV,2022-10-31 16:38:17,7.0313888888888885,richardo,PLINE300,8,richardo,"",TITAN,42199/00160
2022-10-31 08:18:38,,"",2022-10-31 11:52:05,3.5575,goovae19,PLINE300,,"","",EXTREME_2,98600/31827
2022-10-31 08:30:00,,NXE monitor,2022-10-31 09:30:00,,"",PLINE300,1,aubert85,"",HITACHI5000,31199/31811
2022-10-31 08:30:00,,test,2022-10-31 09:00:00,,"",PLINE300,0.5,vanroey,"",GS1000,31199/00653
2022-10-31 08:30:00,,test,2022-10-31 10:30:00,,"",PLINE300,2,dilien72,"",TR3300,31199/30079
2022-10-31 09:00:00,,Navas Buhler JDP,2022-11-01 09:00:00,,"",PLINE200,24,illyas10,LP1;LP2;PM1,BH800,43001/43181
2022-10-31 09:00:00,0,devinp,2022-10-31 10:00:56,0.9927777777777778,stiersk,PLINE300,1,stiersk,"",HRP340_2,36003/36503
2022-10-31 09:00:00,0,measuremetn trilayer,2022-10-31 13:00:00,3.125277777777778,perezl56,PLINE200,4,perezl56,"",CIPT,31499/01838
2022-10-31 09:00:00,0,training,2022-10-31 16:00:00,4.2325,koylan92,PLINE300,7,koylan92,"",TECNAIF30,42199/00160
2022-10-31 09:08:56,0,Development of NbTiN at 420oC,2022-10-31 17:00:00,7.749444444444444,soulie26,PLINE300,7,soulie26,LP1;CH1_MC;CHE,ENDURA_5,43900/02205
2022-10-31 09:20:52,0,coupon samples for Donggyu Kim,2022-10-31 18:07:22,8.775,kim19,PLINE300,7,ripj,"",METRIXL,32005/01299
2022-10-31 09:30:00,,recipe check,2022-10-31 12:00:00,,"",PLINE200,2.5,moet12,"",KLA2351,32299/01959
2022-10-31 09:30:00,,Tool-to-tool offset,2022-10-31 11:00:00,,"",PLINE300,1.5,newman74,"",H6300,31199/01995
2022-10-31 09:30:00,0,BS/BVL LF development,2022-10-31 13:30:00,2.8108333333333335,dith82,PLINE300,4,dith82,LP1;LP2;LP3;LP4;PM_R2,DVPRIME_1,36026/01967
2022-10-31 09:30:00,0,measurement,2022-10-31 10:00:00,0.4147222222222222,arnou66,PLINE300,0.5,arnou66,"",SP5,30990/32063
2022-10-31 09:38:21,0,AL208143/1,2022-10-31 11:30:00,1.6736111111111112,chen70,PLINE200,1.5,chen70,"",SAM_AW300,32299/02107
2022-10-31 09:53:30,0,development,2022-10-31 11:00:00,1.0141666666666667,puliya38,PLINE300,1,puliya38,LP1;PM1,TEL_TACTRAS2,37093/02175
2022-10-31 10:00:00,,APC,2022-10-31 12:00:00,,"",PLINE300,2,hasan30,PM,EP5,31199/01391
2022-10-31 10:00:00,,coupon etch,2022-10-31 12:00:00,,"",PLINE300,2,paolil45,LP1;PM6,TEL_TACTRAS3,31199/01988
2022-10-31 10:00:00,,DSA,2022-10-31 12:00:00,,"",PLINE300,2,vanbel53,PM,EDR7100,31199/00650
2022-10-31 10:00:00,,euv test,2022-10-31 11:00:00,,"",PLINE200,1,pollenti,"",ASM750,31199/01851
2022-10-31 10:00:00,,euv test,2022-10-31 11:00:00,,"",PLINE200,1,pollenti,"",TELACT8_750,31199/01851
2022-10-31 10:00:00,,measurement,2022-10-31 13:00:00,,"",PLINE300,3,castel93,"",FTIR_2,31199/31247
2022-10-31 10:00:00,,q,2022-10-31 14:00:00,,"",PLINE300,4,vdbroecn,"",GS1000,31199/01655
2022-10-31 10:00:00,,Recipe set up,2022-10-31 12:30:00,,"",PLINE300,2.5,janard53,"",SEMVISION,00999/00505
2022-10-31 10:00:00,,rewfwef,2022-10-31 12:00:00,,"",PLINE300,2,schoof76,SN,EP5,31199/01057
2022-10-31 10:00:00,,SPC set-up on alternative wafer,2022-10-31 13:30:00,,"",PLINE300,3.5,tielens,"",JVX7300M,36003/36504
2022-10-31 10:00:00,,test,2022-10-31 11:00:00,,"",PLINE300,1,dilien72,"",SC3400,31199/30079
2022-10-31 10:00:00,,test,2022-10-31 11:00:00,,"",PLINE300,1,dilien72,"",TR3400,31199/30079
2022-10-31 10:00:00,0,iLiME ID:20220819-103159-sinha70,2022-10-31 14:00:00,2.0183333333333335,dara85,PLINE300,4,dara85,"",TXRF300,31499/00379
2022-10-31 10:30:00,,ER_D_Use,2022-10-31 11:00:00,,"",PLINE300,0.5,her70,"",H6300_2,31199/01680
2022-10-31 10:47:41,0,Oxide depositions,2022-10-31 14:30:00,1.6194444444444445,gomezg80,PLINE300,3.5,gomezg80,LP1;PM2,EXTREME_1,39424/01224
2022-10-31 10:55:16,,"",2022-10-31 12:34:15,1.6497222222222223,billin72,PLINE300,,"","",VERIOS,39320/36502
2022-10-31 11:00:00,,coat SOC;coat,2022-10-31 13:00:00,,"",PLINE300,2,dauend87,"",TR2000,98600/00962
2022-10-31 11:00:00,,develop,2022-10-31 12:00:00,,"",PLINE300,1,krishtab,LP3;PM1,TEL_TACTRAS,31199/01765
2022-10-31 11:00:00,,DSA,2022-10-31 13:00:00,,"",PLINE300,2,vanbel53,"",H6300,31199/00650
2022-10-31 11:00:00,,light training,2022-10-31 13:30:00,,"",PLINE300,2.5,johnsu91,"",KLA2925,31199/02273
2022-10-31 11:00:00,,measure,2022-10-31 13:00:00,,"",PLINE300,2,paolil45,"",H6300_2,31199/01988
2022-10-31 11:05:34,,"",2022-10-31 13:02:38,1.951111111111111,seidelf,PLINE300,,"","",HELIOS1200_2,39320/36502
2022-10-31 11:25:08,,"",2022-10-31 13:44:15,2.318611111111111,billin72,PLINE300,,"","",SU8000,39320/36502
2022-10-31 11:30:00,,MAZO w/ H2O recipe development,2022-10-31 13:00:00,,"",PLINE300,1.5,pavel13,"",2830ZT,31499/01284
2022-10-31 12:00:00,,m,2022-10-31 14:00:00,,"",PLINE300,2,vdries51,BOTL,TRDUOS,31199/01413
2022-10-31 12:00:00,,MAZO w/ H2O recipe development,2022-10-31 13:00:00,,"",PLINE300,1,pavel13,"",F5_SCD,31499/01284
2022-10-31 12:00:00,,measurement,2022-10-31 13:00:00,,"",PLINE200,1,tricas85,"",SP1_DLS,30990/32063
2022-10-31 12:00:00,,metro,2022-10-31 13:00:00,,"",PLINE300,1,knaepen,"",SP5,30990/32063
2022-10-31 12:00:00,,TAPES3,2022-10-31 15:00:00,,"",PLINE300,3,yang33,SN,EP5,31199/01988
2022-10-31 12:00:00,,Training Marcus and Kalai,2022-10-31 15:00:00,,"",PLINE300,3,schoof76,PM,EP5,31199/00653
2022-10-31 12:00:00,0,metro,2022-10-31 13:00:00,0.008055555555555555,hsingy35,PLINE300,1,houben21,"",SCD100,30990/32063
2022-10-31 13:00:00,,hitachi,2022-10-31 15:00:00,,"",PLINE300,2,wei34,"",H6300_2,31199/01179
2022-10-31 13:00:00,,MAZO w/ H2O recipe development,2022-10-31 20:00:00,,"",PLINE300,7,pavel13,LP1;PM1,XP4_4,31499/01284
2022-10-31 13:00:00,,process,2022-10-31 17:00:00,,"",PLINE300,4,fukui39,LP1;LP2;PM6,TEL_TACTRAS3,31199/02273
2022-10-31 13:00:00,,processing lot on hold,2022-10-31 16:00:00,,"",PLINE200,3,schoofs,"",300MM_DICER,31012/01506
2022-10-31 13:00:00,,use,2022-10-31 14:00:00,,"",PLINE300,1,ledain47,"",H6300,98601/01062
2022-10-31 13:30:00,,Inpria,2022-10-31 16:00:00,,"",PLINE300,2.5,doise23,"",KLA2925,31199/31247
2022-10-31 13:30:00,,test,2022-10-31 15:00:00,,"",PLINE300,1.5,pena,"",JVX7300M,98601/01847
2022-10-31 13:30:00,0,devinp,2022-10-31 15:00:00,1.1005555555555555,stiersk,PLINE300,1.5,stiersk,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
2022-10-31 13:30:00,0,prcoess hold lot with BS APM,2022-10-31 17:00:00,2.265833333333333,lai86,PLINE300,3.5,lai86,LP1;PM_L1;PM_L2,DVPRIME_1,37092/02174
2022-10-31 14:00:00,,hot purge,2022-11-01 12:00:00,,"",PLINE300,22,liang13,LP2;PM2,XP4_2,30990/32063
2022-10-31 14:00:00,,Inpria,2022-10-31 15:00:00,,"",PLINE300,1,giorda12,"",TR3300,31199/31247
2022-10-31 14:00:00,,Insp,2022-10-31 15:00:00,,"",PLINE300,1,dusar,"",SEMVISION,37004/37141
2022-10-31 14:00:00,,metro,2022-10-31 15:00:00,,"",PLINE300,1,houben21,"",SCD100,30990/32063
2022-10-31 14:00:00,,proc  dev,2022-10-31 17:00:00,,"",PLINE300,3,ramane56,"",H6300,31199/02273
2022-10-31 14:00:00,,process lot,2022-10-31 15:30:00,,"",PLINE300,1.5,dauend87,"",SC3400,98600/00962
2022-10-31 14:00:00,,process lot,2022-10-31 15:30:00,,"",PLINE300,1.5,dauend87,"",TR3400,98600/00962
2022-10-31 14:00:00,0,sem,2022-10-31 15:30:00,0.7483333333333333,tsvetani,PLINE300,1.5,tsvetani,"",NOVA200_2,38199/01838
2022-10-31 14:07:55,,"",2022-10-31 17:37:43,3.4966666666666666,peeter11,PLINE300,,"","",HELIOS1200,37092/02172
2022-10-31 14:30:00,,Pre-bow measurement,2022-10-31 17:00:00,,"",PLINE200,2.5,vdalon75,"",FSM_CU,98601/32063
2022-10-31 14:30:00,0,devinp,2022-10-31 21:36:37,6.439166666666667,vbelle62,PLINE300,7,vbelle62,"",NX3DM,36003/01224
2022-10-31 14:58:17,,"",2022-10-31 16:59:03,2.012777777777778,billin72,PLINE300,,"","",VERIOS,39320/36502
2022-10-31 15:00:00,,metro,2022-10-31 16:00:00,,"",PLINE300,1,knaepen,"",SP5,30990/32063
2022-10-31 15:00:00,,pline use,2022-11-01 12:00:00,,"",PLINE300,21,roekens,"",JVX7300M,36003/36503
2022-10-31 15:00:00,,xcbzb,2022-10-31 17:00:00,,"",PLINE300,2,schoof76,SN,EP5,31199/01057
2022-10-31 15:30:00,,Brewer,2022-10-31 16:30:00,,"",PLINE300,1,vdries51,"",SC3400,31199/01413
2022-10-31 15:30:00,,Brewer,2022-10-31 16:30:00,,"",PLINE300,1,vdries51,"",TR3400,31199/01413
2022-10-31 15:30:00,,Devinps,2022-10-31 17:00:00,,"",PLINE300,1.5,stiersk,"",SEMVISION,32299/01084
2022-10-31 15:30:00,,Devinps,2022-10-31 18:30:00,,"",PLINE300,3,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
2022-10-31 15:30:00,0,AE208489,2022-10-31 16:30:00,0.5433333333333333,jehoul60,PLINE300,1,haider15,LP1;PM1,LAM_E6,31199/01918
2022-10-31 15:30:00,0,Inspection SIGE,2022-10-31 18:30:28,1.4905555555555556,rengo74,PLINE300,2.5,rengo74,"",NOVA200_2,32499/01906
2022-10-31 15:48:39,,"",2022-10-31 17:29:57,1.6883333333333332,martin29,PLINE300,,"","",METRIOS,42199/00160
2022-10-31 16:00:00,,light training,2022-10-31 17:00:00,,"",PLINE300,1,johnsu91,"",KLA2925,31199/02273
2022-10-31 16:00:00,,Wafer processing,2022-10-31 19:00:00,,"",PLINE300,3,feurpr61,LP3;PM6,TEL_TACTRAS2,31199/02273
2022-10-31 16:30:00,,Coating,2022-10-31 17:00:00,,"",PLINE300,0.5,naqvi66,BOTL,TRDUOS,31199/01988
2022-10-31 16:30:00,,process,2022-10-31 17:00:00,,"",PLINE300,0.5,dauend87,"",SC3400,31199/31021
2022-10-31 16:30:00,,process,2022-10-31 17:00:00,,"",PLINE300,0.5,dauend87,"",TR3400,31199/31021
