Begin,Description,End,FACILITY,Module,RES_TK,Tool,User_id,WBS
2022-10-31 19:00:00,'-,2022-11-01 00:00:00,PLINE300,"",4167263,HELIOS_G5,pauluss,42199/00160
2022-10-31 20:00:00,'-,2022-11-01 00:00:00,PLINE300,"",4167264,TITAN,pauluss,42199/00160
2022-11-01 00:00:00,'-,2022-11-01 02:00:00,PLINE300,"",4167265,TITAN,pauluss,42199/00160
2022-11-09 10:00:00, p-line process - extra time,2022-11-09 11:00:00,PLINE300,"",4169306,JVX7300M,tielens,36003/01225
2022-11-09 12:00:00, p-line process - extra time,2022-11-09 15:00:00,PLINE300,"",4169307,JVX7300M,tielens,36003/01225
2022-11-10 10:00:00, p-line process - extra time,2022-11-10 15:00:00,PLINE300,"",4169308,JVX7300M,tielens,36003/01225
2022-11-03 11:00:00,/,2022-11-03 12:00:00,PLINE300,"",4167484,H5000_2,vandeney,31199/00653
2022-11-04 06:00:00,/,2022-11-04 14:00:00,PLINE300,"",4167656,EBEAM300,vandeney,31199/00653
2022-11-04 11:00:00,/,2022-11-04 12:00:00,PLINE300,"",4167485,H5000_2,vandeney,31199/00653
2022-11-04 14:00:00,/,2022-11-04 18:00:00,PLINE300,"",4167699,EBEAM300,vandeney,31199/00653
2022-11-16 17:00:00,/,2022-11-16 18:00:00,PLINE300,"",4171211,HITACHI5000,vandeney,31199/01920
2022-11-03 18:00:00,200 kV,2022-11-03 22:30:00,PLINE300,"",4166672,TITAN,nalinm87,42199/00160
2022-11-04 18:00:00,200 kV,2022-11-04 22:00:00,PLINE300,"",4166673,TITAN,nalinm87,42199/00160
2022-11-17 14:00:00,200 kV,2022-11-17 17:00:00,PLINE300,"",4171492,TITAN,nalinm87,42199/00160
2022-11-07 11:00:00,200 mm Tapeframe,2022-11-07 12:00:00,PLINE200,"",4168335,LASERDEBOND,coulso66,44286/44542
2022-10-31 08:00:00,200kV,2022-10-31 16:00:00,PLINE300,"",4156158,TITAN,richardo,42199/00160
