DATE_TIME_STAMP_Begin,DATE_TIME_STAMP_End,EVENT_ROW_ID_Begin,EVENT_ROW_ID_End,FO_ROW_ID,ResTk,USER_ID_Begin,USER_ID_End,WBS
2022-10-31 05:56:57,2022-10-31 06:36:48,945381254,945383644,4926,4154857,redants,redants,37004/37141
2022-10-31 06:42:14,2022-10-31 07:36:27,945384576,945393839,261,4167087,redants,redants,00999/00505
2022-10-31 06:52:55,2022-10-31 09:50:58,945386073,945425888,20568,N/a,gade18,gade18,39320/36502
2022-10-31 09:31:45,2022-10-31 09:56:38,945408212,945427560,20556,4167098,arnou66,arnou66,30990/32063
2022-10-31 09:01:22,2022-10-31 10:00:56,945401946,945428374,2020,N/a,stiersk,stiersk,36003/36503
2022-10-31 09:53:30,2022-10-31 10:54:21,945426785,945440265,9666,4167171,puliya38,puliya38,37093/02175
2022-10-31 09:38:21,2022-10-31 11:18:46,945417921,945444796,13589,N/a,chen70,chen70,32299/02107
2022-10-31 08:18:38,2022-10-31 11:52:05,945397664,945450094,24044,4167046,goovae19,goovae19,98600/31827
2022-10-31 10:38:30,2022-10-31 12:12:57,945437543,945453475,4424,N/a,hiro13,visker16,31012/01506
2022-10-31 12:20:49,2022-10-31 12:21:18,945455294,945455384,429,4166980,hsingy35,hsingy35,30990/32063
2022-10-31 08:01:13,2022-10-31 12:24:06,945395703,945455760,10907,N/a,demoniei,iraci88,37092/02172
2022-10-31 09:36:10,2022-10-31 12:24:49,945415730,945455830,24493,4166638,dith82,dith82,36026/01967
2022-10-31 10:47:41,2022-10-31 12:24:51,945439177,945455845,10466,4167173,gomezg80,gomezg80,39424/01224
2022-10-31 09:19:20,2022-10-31 12:26:51,945405339,945456239,8288,4167061,perezl56,perezl56,31499/01838
2022-10-31 10:55:16,2022-10-31 12:34:15,945440465,945458000,20579,N/a,billin72,billin72,39320/36502
2022-10-31 10:35:48,2022-10-31 12:36:54,945437082,945458364,4806,4165702,dara85,dara85,31499/00379
2022-10-31 11:05:34,2022-10-31 13:02:38,945442617,945462650,20568,N/a,seidelf,seidelf,39320/36502
2022-10-31 07:29:58,2022-10-31 13:18:31,945392366,945466077,20795,4166905,das10,verbee16,31199/00651
2022-10-31 10:07:37,2022-10-31 13:32:34,945429725,945470227,8487,4166726,tielens,pena,36003/36504
2022-10-31 09:21:18,2022-10-31 13:35:15,945405725,945470722,10447,4167147,koylan92,koylan92,42199/00160
2022-10-31 11:25:08,2022-10-31 13:44:15,945445887,945473217,5443,N/a,billin72,billin72,39320/36502
2022-10-31 13:48:01,2022-10-31 14:54:03,945473810,945488988,10087,4167191,stiersk,stiersk,36003/36503
2022-10-31 14:37:10,2022-10-31 15:22:04,945482521,945498532,4673,4166827,tsvetani,tsvetani,38199/01838
2022-10-31 10:45:32,2022-10-31 15:47:51,945438884,945503978,14921,N/a,gade18,martin29,39320/36502
2022-10-31 13:38:42,2022-10-31 15:54:39,945472012,945504721,24493,4166787,lai86,lai86,37092/02174
2022-10-31 11:10:37,2022-10-31 16:08:51,945443751,945508087,20573,4167066,paolil45,kim69,31199/01988
2022-10-31 15:46:12,2022-10-31 16:18:48,945503814,945511109,19200,4167042,jehoul60,jehoul60,31199/01918
2022-10-31 09:36:24,2022-10-31 16:38:17,945415765,945513969,10448,4156158,richardo,richardo,42199/00160
2022-10-31 09:08:56,2022-10-31 16:53:54,945404017,945516482,16067,4166352,soulie26,soulie26,43900/02205
