Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
0,0.5% HF etch test,2023-01-19 10:00:19,2023-01-19 10:45:35,21,rahmat49,PLINE300,2023-01-19 10:00:00,2023-01-19 11:00:00,2183,rahmat49,LP2;SM2,DNS_4,30990/32063
0,10 wafers Thickness measurement,2023-01-19 10:06:47,2023-01-19 11:14:36,596,patel41,PLINE300,2023-01-19 10:00:00,2023-01-19 11:00:00,383,patel41,"",F5_SCD,30990/32063
0,10 wafers Thickness measurement,2023-01-20 15:58:20,2023-01-20 16:51:36,597,patel41,PLINE300,2023-01-20 16:00:00,2023-01-20 17:00:00,344,patel41,"",F5_SCD,30990/02250
0,100nm deposition of AlCu 9kw,2023-01-24 13:39:03,2023-01-24 15:24:57,798,vlanck26,PLINE200,2023-01-24 13:30:00,2023-01-24 16:00:00,1862,vlanck26,LP1;CH4,ENDURA1,97401/02108
0,100nm deposition on SI blanket,2023-01-24 08:52:29,2023-01-24 12:14:51,15,vlanck26,PLINE200,2023-01-24 09:00:00,2023-01-24 12:30:00,2256,vlanck26,NITR;WIP,P3_NITRIDE,97401/02108
0,20 wafer lot,2023-01-18 09:22:38,2023-01-18 09:34:43,220,gianna53,PLINE300,2023-01-18 09:30:00,2023-01-18 10:00:00,345,knaepen,"",SP5,30990/02249
0,20221215-131818-fujimo16,2023-01-03 10:22:20,2023-01-03 13:01:43,626,tielens,PLINE300,2023-01-03 10:00:00,2023-01-03 11:30:00,681,tielens,"",JVX7300M,32499/38006
0,20p50 MOKE,2023-01-10 14:49:12,2023-01-10 16:54:02,91,talmel16,PLINE300,2023-01-10 14:30:00,2023-01-10 17:00:00,705,talmel16,"",POLARKERR_2,38199/01593
0,3_C730_DualT1107_CG,2023-01-13 07:01:14,2023-01-13 10:28:26,753,cuypers,PLINE200,2023-01-13 07:00:00,2023-01-13 09:30:00,1844,cuypers,"",GRINDER,32099/01084
0,3_C730_T1107_30_PRE and POST,2023-01-13 07:01:43,2023-01-13 11:06:11,413,cuypers,PLINE200,2023-01-13 07:00:00,2023-01-13 09:30:00,1843,cuypers,"",ISIS,32099/01084
0,AE209757,2023-01-18 08:48:39,2023-01-18 11:51:02,595,goovae19,PLINE300,2023-01-18 09:00:00,2023-01-18 13:00:00,2055,goovae19,LP1;LP2;LP3;PM1,EXTREME_2,31199/01876
0,AE212330/1,2023-01-09 09:40:22,2023-01-09 17:14:24,180,devul,PLINE300,2023-01-09 09:00:00,2023-01-09 18:00:00,2034,devul,LP1;LP2;CH2_MC;CH3;CHE,ENDURA_5,31499/02251
0,AE216026,2023-01-25 10:39:17,2023-01-25 14:44:03,23,annama94,PLINE300,2023-01-25 10:30:00,2023-01-25 15:00:00,2350,annama94,LP4;SM2_1;SM2_3;LP3,CELLESTA,32005/01084
0,AE224542,2023-01-16 09:22:22,2023-01-16 10:22:44,751,chen70,PLINE200,2023-01-16 09:30:00,2023-01-16 10:30:00,1797,chen70,"",SAM_AW300,36671/01224
0,AE227405/D19-D22 on SCD100,2023-01-13 07:55:38,2023-01-13 08:50:55,601,rondas,PLINE300,2023-01-13 08:00:00,2023-01-13 09:00:00,757,rondas,"",SCD100,32499/32513
0,AHM depo,2023-01-05 14:19:13,2023-01-05 16:00:03,585,martel37,PLINE300,2023-01-05 14:00:00,2023-01-05 16:00:00,1885,gullo50,LP1;PM1,EXTREME_2,37013/01883
0,Al BE etch,2023-01-25 15:29:20,2023-01-25 16:22:25,200,canvel12,PLINE300,2023-01-25 15:30:00,2023-01-25 16:30:00,2070,canvel12,LP1;PM5,LAM_E6,38199/01936
0,AL210794/10,2023-01-25 09:26:38,2023-01-25 14:01:35,0,chen70,PLINE200,2023-01-25 13:00:00,2023-01-25 14:00:00,1794,chen70,"",SAM300,38199/01132
0,AL214704/2,2023-01-17 14:24:09,2023-01-17 17:34:08,752,chen70,PLINE200,2023-01-17 13:30:00,2023-01-17 16:00:00,1799,chen70,"",SAM_AW300,31012/01506
0,AL218747/3 D17 D18 D21,2023-01-04 15:33:46,2023-01-04 17:21:26,399,beggia74,PLINE300,2023-01-04 14:00:00,2023-01-04 18:00:00,464,beggia74,"",PROVISION2E,31199/00653
0,AL232055,2023-01-23 14:06:28,2023-01-23 16:21:45,645,lieben52,PLINE300,2023-01-23 14:00:00,2023-01-23 16:00:00,2062,lieben52,LP1;LP2;LP3;PM2;PM3;PM1,CIRCL,38199/02180
0,AP,2023-01-25 14:51:54,2023-01-25 15:54:51,235,bekaert,PLINE300,2023-01-25 15:00:00,2023-01-25 16:00:00,1353,bekaert,"",SC3400,31199/01565
0,APc,2023-01-03 13:58:06,2023-01-03 14:56:22,314,newman74,PLINE300,2023-01-03 14:00:00,2023-01-03 15:00:00,1243,das89,"",H6300_2,31199/02287
0,APc,2023-01-11 16:54:20,2023-01-11 17:55:09,253,bekaert,PLINE300,2023-01-11 17:00:00,2023-01-11 18:00:00,1350,bekaert,"",SC3400,31199/00979
0,APc,2023-01-16 14:33:23,2023-01-16 19:11:26,317,schrauw,PLINE300,2023-01-16 15:00:00,2023-01-16 17:00:00,1224,das89,"",H6300_2,31199/01756
0,APC wafers,2023-01-25 08:30:09,2023-01-25 09:10:32,320,scharn75,PLINE300,2023-01-25 08:30:00,2023-01-25 09:30:00,1211,scharn75,"",H6300_2,31199/01877
0,APM 65C marathon test,2023-01-20 08:59:53,2023-01-20 16:38:56,885,lai86,PLINE300,2023-01-20 09:00:00,2023-01-20 17:00:00,2164,lai86,LP1;LP2;PM_L1;PM_L2,DVPRIME_1,37092/02174
0,ARC91 replacement,2023-01-25 14:52:23,2023-01-25 15:35:25,24,tseng69,PLINE300,2023-01-25 15:00:00,2023-01-25 16:00:00,661,tseng69,"",SC1950,36056/01225
0,ASM internal development,2023-01-17 13:00:58,2023-01-17 13:59:29,158,kim11,PLINE300,2023-01-17 13:00:00,2023-01-17 14:00:00,2162,kim11,LP1;MPC2,DNS_6,30990/01658
0,AZ replacement,2023-01-19 12:39:25,2023-01-19 13:44:13,120,eswara57,PLINE300,2023-01-19 12:30:00,2023-01-19 14:00:00,201,eswara57,"",NOVA200_2,36056/36504
0,back side clean 5 wafers,2023-01-20 10:15:25,2023-01-20 10:35:18,788,patel41,PLINE300,2023-01-20 10:00:00,2023-01-20 10:30:00,2305,patel41,ATM;SM1;SM2;SM3,SEZ304_2,30990/02250
0,Bake Only,2023-01-09 09:58:10,2023-01-09 10:35:55,854,huang72,PLINE300,2023-01-09 10:00:00,2023-01-09 10:30:00,2229,huang72,LP2;PM2,LAM_E5_2,31199/01617
0,BID13 - 4 samples;Meting;/,2023-01-11 09:18:54,2023-01-12 06:50:35,858,veenae54,PLINE300,2023-01-11 07:00:00,2023-01-12 05:00:00,491,veenae54;vandeney,"",EBEAM300,31199/00653
0,Biocube resist inspection,2023-01-04 08:40:56,2023-01-04 10:36:53,111,leruth67,PLINE300,2023-01-04 08:00:00,2023-01-04 09:30:00,214,leruth67,"",NOVA200_2,44999/01997
0,BROMO Project: TSV Plating CMP,2023-01-16 08:54:41,2023-01-16 10:53:34,757,kyaw73,PLINE200,2023-01-16 09:00:00,2023-01-16 10:30:00,1858,kyaw73,LP1;LP2;PLATEN1;PLATEN2;PLATEN3,MIRRA_3,36026/01224
0,CH,2023-01-21 08:33:20,2023-01-21 11:06:00,319,schrauw,PLINE300,2023-01-21 08:00:00,2023-01-21 11:00:00,1205,heo87,"",H6300_2,31199/00650
0,CHD SPC stability investigation,2023-01-21 07:58:34,2023-01-21 08:23:14,797,meulem85,PLINE200,2023-01-21 08:00:00,2023-01-21 09:00:00,1861,meulem85,LP1;CHC;CHD,ENDURA1,39422/01221
0,check recipe,2023-01-02 15:13:51,2023-01-02 16:18:00,403,nong52,PLINE300,2023-01-02 15:00:00,2023-01-02 18:00:00,369,nong52,"",NXWAFER,36003/01224
0,CIPT dev. Ref wafers,2023-01-13 12:58:19,2023-01-13 17:49:08,491,talmel16,PLINE300,2023-01-13 13:00:00,2023-01-13 16:00:00,365,talmel16,"",MH300,31499/01927
0,CIPT LED Zeppelin,2023-01-13 09:33:02,2023-01-13 12:57:51,823,talmel16,PLINE200,2023-01-13 10:00:00,2023-01-13 12:00:00,1692,talmel16,"",CIPT,31499/02180
0,Cleaning transferred WS2,2023-01-24 11:40:55,2023-01-24 12:22:53,856,wyndae43,PLINE300,2023-01-24 11:30:00,2023-01-24 12:30:00,2128,wyndae43,LP1;LP2;LP3;PM2,LAM_E5_2,32399/00879
0,CM testing onefab,2023-01-23 10:01:03,2023-01-23 12:15:51,763,feyena,PLINE300,2023-01-23 10:00:00,2023-01-23 12:00:00,2138,feyena,LP1;LP2;PM6;LP3;PM1,TEL_TACTRAS3,36004/01221
0,Coupin work,2023-01-11 10:01:34,2023-01-11 11:36:52,196,canvel12,PLINE300,2023-01-11 10:00:00,2023-01-11 11:00:00,2086,canvel12,LP1;PM5,LAM_E6,98500/01936
0,coupon etching,2023-01-05 11:17:28,2023-01-05 13:50:52,758,paolil45,PLINE300,2023-01-05 11:00:00,2023-01-05 13:00:00,2011,paolil45,LP1;PM6,TEL_TACTRAS3,31199/01988
0,Coupon processing in PM1 and PM2,2023-01-17 13:34:10,2023-01-17 16:41:54,192,kim11,PLINE300,2023-01-17 14:00:00,2023-01-17 17:00:00,1984,kim11,LP1;LP2;PM4;LP3;PM2;PM3;PM1,INTREPID_2,30990/01658
0,coupon tests,2023-01-12 07:58:12,2023-01-12 10:52:37,199,dcosters,PLINE300,2023-01-12 08:00:00,2023-01-12 10:30:00,2222,dcosters,LP2;PM1,LAM_E6,38199/01952
0,Coupons,2023-01-05 10:59:32,2023-01-05 11:43:38,809,vallat65,PLINE300,2023-01-05 11:00:00,2023-01-05 13:00:00,2194,vallat65,LP2;PM3,LAM_E5,31299/02062
0,Coupons,2023-01-09 15:33:21,2023-01-09 16:31:34,194,renaud15,PLINE300,2023-01-09 15:30:00,2023-01-09 17:00:00,2005,renaud15,LP1;PM1,LAM_E6,31299/01861
0,CRAS,2023-01-10 12:35:05,2023-01-10 13:32:16,195,locoroto,PLINE300,2023-01-10 12:00:00,2023-01-10 13:30:00,2003,locoroto,LP1;PM6;PM3,LAM_E6,98850/02081
0,cross section,2023-01-11 18:17:01,2023-01-11 20:59:23,485,carola29,PLINE300,2023-01-11 14:00:00,2023-01-11 20:00:00,1156,carola29,"",HELIOS450,42199/00160
0,Cu process test,2023-01-25 14:53:19,2023-01-25 17:46:05,160,nomura57,PLINE300,2023-01-25 14:30:00,2023-01-25 19:00:00,2097,nomura57,LP1;LP2;LP4;PM_A;PM_B;PM_C;PM_D,F_REX300X_1,31399/01183
0,Cu stop in layer processing,2023-01-24 12:59:58,2023-01-24 16:32:04,12,dewild34,PLINE300,2023-01-24 13:00:00,2023-01-24 16:30:00,2029,dewild34,LP1;LP2;H1;H2;H3;H4,REFLEXION_2,32005/01717
0,cure wpr,2023-01-11 09:01:06,2023-01-11 14:22:49,755,jslabbe,PLINE200,2023-01-11 09:00:00,2023-01-11 14:00:00,1785,jslabbe,"",BLUE_M_BCB,32299/00013
0,Cycle time measurements,2023-01-09 07:13:17,2023-01-09 09:50:26,586,gomezg80,PLINE300,2023-01-09 07:00:00,2023-01-09 11:00:00,2147,gomezg80,LP1;PM1,EXTREME_2,39424/01225
0,Deposition of Cu/Ti stack + Cu/T,2023-01-05 12:16:05,2023-01-05 15:53:14,864,belov93,PLINE300,2023-01-05 12:00:00,2023-01-05 16:00:00,2076,belov93,LP1;LP2;PM4;PM2;PM3;PM1,SIGMA,32099/01506
0,Dev 60nm recipe,2023-01-16 10:02:42,2023-01-16 12:06:37,593,pasqua16,PLINE300,2023-01-16 10:00:00,2023-01-16 13:00:00,1910,pasqua16,LP1;PM1,EXTREME_2,31499/01951
0,Dev. new WDC and HST thc.s,2023-01-24 08:57:02,2023-01-24 11:13:28,588,pasqua16,PLINE300,2023-01-24 09:00:00,2023-01-24 12:00:00,1913,pasqua16,LP1;LP2;PM2;PM1,EXTREME_2,39424/01221
0,dev;Ag Nanomesh,2023-01-10 17:08:36,2023-01-10 19:05:21,277,planke49,PLINE200,2023-01-10 15:30:00,2023-01-10 18:30:00,1633,hendri21;planke49,"",NOVA200,97406/01185
0,Development of NiAl at 420oC,2023-01-17 08:58:06,2023-01-17 14:43:26,191,soulie26,PLINE300,2023-01-17 09:00:00,2023-01-17 13:30:00,2125,soulie26,LP1;CH1_MC;CHE,ENDURA_5,31499/02228
0,Devinp,2023-01-11 10:40:41,2023-01-11 11:23:51,643,janard53,PLINE300,2023-01-11 10:30:00,2023-01-11 12:30:00,2043,janard53,LP1;LP2;PM4;LP3;PM2;PM3;PM1,CIRCL,32102/01048
0,Devinp,2023-01-12 10:14:07,2023-01-12 11:07:55,448,janard53,PLINE300,2023-01-12 10:00:00,2023-01-12 12:00:00,978,janard53,"",SEMVISION,37092/02174
0,devinp STCE,2023-01-13 14:00:38,2023-01-13 17:19:09,49,vbelle62,PLINE300,2023-01-13 14:00:00,2023-01-13 16:30:00,261,vbelle62,"",NX3DM,36003/01224
0,Devinps,2023-01-03 15:02:35,2023-01-03 18:25:31,398,janard53,PLINE300,2023-01-03 15:00:00,2023-01-03 17:00:00,684,janard53,"",PROVISION2E,38199/00432
0,Devinps,2023-01-04 15:04:18,2023-01-04 16:23:25,459,janard53,PLINE300,2023-01-04 15:00:00,2023-01-04 16:30:00,977,janard53,"",SEMVISION,37092/02170
0,Devinps,2023-01-04 16:50:04,2023-01-04 19:04:03,640,janard53,PLINE300,2023-01-04 16:30:00,2023-01-04 18:30:00,2040,janard53,LP1;LP2;LP3;PM2;PM3;PM1,CIRCL,38199/01715
0,Devinps,2023-01-06 19:15:33,2023-01-06 20:31:37,641,janard53,PLINE300,2023-01-06 19:00:00,2023-01-06 21:30:00,2047,janard53,LP1;LP2;PM4;LP3;PM2;PM3;PM1,CIRCL,31012/01084
0,Devinps,2023-01-09 07:36:59,2023-01-09 11:57:53,642,janard53,PLINE300,2023-01-09 07:30:00,2023-01-09 10:30:00,2048,janard53,LP1;LP2;LP3;PM2;PM3;PM1,CIRCL,32299/01084
0,Devinps,2023-01-09 11:58:51,2023-01-09 13:16:44,274,janard53,PLINE200,2023-01-09 11:30:00,2023-01-09 13:30:00,1788,janard53,"",KLA2351,37004/01945
0,Devinps,2023-01-16 16:14:27,2023-01-16 21:19:39,647,janard53,PLINE300,2023-01-16 16:00:00,2023-01-16 18:00:00,2046,janard53,LP1;LP2;PM4;LP3;PM2;PM3;PM1,CIRCL,32299/31838
0,Devinps,2023-01-19 16:34:37,2023-01-19 19:11:55,272,janard53,PLINE200,2023-01-19 16:00:00,2023-01-19 19:30:00,1793,janard53,"",KLA2351,32299/31838
0,DFR,2023-01-11 10:55:21,2023-01-11 12:37:44,579,cooman32,PLINE200,2023-01-11 10:30:00,2023-01-11 12:00:00,1779,eswara57,"",AP300,37037/01949
0,DFR,2023-01-11 10:55:26,2023-01-11 13:14:19,575,cooman32,PLINE200,2023-01-11 11:00:00,2023-01-11 12:30:00,1752,eswara57,"",ACT12_MTM,37037/01949
0,DFR,2023-01-12 09:38:13,2023-01-12 11:09:04,576,cooman32,PLINE200,2023-01-12 09:00:00,2023-01-12 13:30:00,1746,eswara57,"",ACT12_MTM,37004/37141
0,DFR,2023-01-25 15:05:40,2023-01-25 20:46:29,582,cooman32,PLINE200,2023-01-25 15:00:00,2023-01-25 17:30:00,1777,eswara57,"",AP300,37004/37141
0,Direct bonding in Lvl5 6' chuck,2023-01-11 12:42:52,2023-01-11 15:47:48,802,segers56,PLINE200,2023-01-11 13:30:00,2023-01-11 17:30:00,1854,segers56,"",BONDER_200,97401/02110
0,DOE test on RC1,2023-01-25 09:51:47,2023-01-25 10:48:37,790,kimura50,PLINE300,2023-01-25 10:00:00,2023-01-25 11:30:00,2151,kimura50,LP1;LP2;PM1,EAGLE12,39423/01224
0,DSA,2023-01-04 09:15:16,2023-01-04 11:30:41,637,verstr99,PLINE300,2023-01-04 10:00:00,2023-01-04 12:00:00,2425,verstr99,PM,EDR7100,31199/00650
0,DSA,2023-01-04 18:23:36,2023-01-04 19:35:48,17,verstr99,PLINE300,2023-01-04 18:00:00,2023-01-04 19:00:00,1964,verstr99,LP1;SM1,DNS_4,31199/00650
0,DSA,2023-01-05 10:33:02,2023-01-05 11:29:51,261,hillen84,PLINE300,2023-01-05 10:30:00,2023-01-05 11:30:00,2407,hillen84,BOTL,TRDUOS,31199/01680
0,DSA,2023-01-06 11:00:11,2023-01-06 11:30:47,25,hillen84,PLINE300,2023-01-06 11:00:00,2023-01-06 11:30:00,1549,kampit73,"",H6300,31199/01680
0,DSA,2023-01-23 16:02:20,2023-01-23 18:30:41,870,verstr99,PLINE300,2023-01-23 16:00:00,2023-01-23 18:00:00,509,verstr99,"",SC2000,31199/00650
0,Dummy Oxide wafer etch,2023-01-11 16:12:26,2023-01-11 16:36:15,198,kundu94,PLINE300,2023-01-11 15:30:00,2023-01-11 16:30:00,1971,kundu94,LP1;PM1,LAM_E6,31299/00881
0,EBR clean BB510,2023-01-04 16:48:46,2023-01-04 20:30:37,808,lefevr14,PLINE200,2023-01-04 16:00:00,2023-01-04 18:00:00,1740,lefevr14,"",DEBOND_CLEANER,98300/01618
0,EBR clean BB510,2023-01-04 16:48:46,2023-01-04 20:30:37,808,lefevr14,PLINE200,2023-01-04 20:00:00,2023-01-04 21:30:00,1741,lefevr14,"",DEBOND_CLEANER,98300/01618
0,EBSD-meting Myriam Van De Peer,2023-01-16 08:54:12,2023-01-16 12:47:27,287,vdpeer,PLINE200,2023-01-16 08:00:00,2023-01-16 13:00:00,1734,jmesse,"",XL30_CF,32099/01506
0,EDX,2023-01-11 08:43:46,2023-01-11 10:21:58,278,verbeeck,PLINE200,2023-01-11 08:30:00,2023-01-11 11:00:00,1644,verbeeck,"",NOVA200,43001/01668
0,etch,2023-01-17 13:52:55,2023-01-17 14:17:56,818,raymae79,PLINE300,2023-01-17 14:00:00,2023-01-17 14:30:00,2327,raymae79,PM4;LP3,LAM_E5,98601/01062
0,etch,2023-01-25 16:29:40,2023-01-25 18:41:09,201,jambal44,PLINE300,2023-01-25 16:30:00,2023-01-25 18:00:00,2360,kam,LP3;PM1,LAM_E6,31199/01918
0,etch process,2023-01-09 15:39:09,2023-01-09 18:40:21,761,feurpr61,PLINE300,2023-01-09 15:30:00,2023-01-09 18:30:00,1943,dauend87,LP1;LP2;PM6,TEL_TACTRAS3,98601/00962
0,exposure,2023-01-18 18:40:39,2023-01-18 20:15:17,247,kato15,PLINE300,2023-01-18 18:00:00,2023-01-18 20:00:00,1300,kato15,"",SC3400,31199/31074
