Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS
2023-01-02 06:00:00,,i,2023-01-02 08:00:00,,"",PLINE300,2,engelen,"",SEMVISION,44999/01997
2023-01-02 07:30:00,,Proc dev,2023-01-02 08:30:00,,"",PLINE300,1,ramane56,"",H6300_2,31199/02273
2023-01-02 07:39:21,,"",2023-01-02 12:57:09,5.296666666666667,dutrow20,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-02 07:43:40,,"",2023-01-02 13:45:46,6.035,sterke41,PLINE300,,"","",VERIOS,39320/36502
2023-01-02 08:30:00,0,Xsem,2023-01-02 10:00:00,0.6330555555555556,maes72,PLINE300,1.5,maes72,"",SU8000,98300/14175
2023-01-02 09:00:00,,Use,2023-01-02 12:00:00,,"",PLINE300,3,zidan45,"",H6300,31199/01918
2023-01-02 10:00:00,,PSI measu. analy. AE231258,2023-01-02 15:00:00,,"",PLINE300,5,tuncaa41,"",ZETA,31199/00653
2023-01-02 10:00:00,,TEM prep,2023-01-02 17:00:00,,"",PLINE300,7,drijboom,"",HELIOS_G5,42199/00160
2023-01-02 10:05:11,,"",2023-01-02 14:07:29,4.038333333333333,nelisl,PLINE300,,"","",HELIOS450,42199/00160
2023-01-02 11:00:00,,sem,2023-01-02 12:00:00,,"",PLINE300,1,dvriendt,"",SEMVISION,32299/00013
2023-01-02 12:00:00,,Zeon,2023-01-02 14:00:00,,"",PLINE300,2,akihid10,"",H6300,31007/30121
2023-01-02 13:00:00,,Pellicle,2023-01-03 00:00:00,,"",PLINE300,11,bekaert,"",YS250,31199/00979
2023-01-02 13:00:00,,Purging all source lines,2023-01-02 18:30:00,,"",PLINE300,5.5,chauha79,LP1;PM1,XP4_4,30990/32063
2023-01-02 14:00:00,,i,2023-01-02 15:00:00,,"",PLINE300,1,maes72,"",SEMVISION,44999/01997
2023-01-02 14:14:54,,"",2023-01-02 17:53:54,3.65,derudd92,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-02 14:16:57,,"",2023-01-02 17:57:13,3.671111111111111,vrebos45,PLINE300,,"","",VERIOS,39320/36502
2023-01-02 14:30:00,,Use,2023-01-02 15:30:00,,"",PLINE300,1,zidan45,"",H6300,31199/01918
2023-01-02 15:00:00,,ATR-FTIR with liquid cell,2023-01-02 19:00:00,,"",PLINE300,4,wu78,"",FTIR_2,32005/00330
2023-01-02 15:00:00,0,check recipe,2023-01-02 18:00:00,1.0691666666666666,nong52,PLINE300,3,nong52,"",NXWAFER,36003/01224
2023-01-02 15:30:00,,Proc dev,2023-01-02 16:30:00,,"",PLINE300,1,ramane56,"",H6300,31199/02273
2023-01-02 15:30:00,,SPC test after xmas shutdown,2023-01-02 17:00:00,,"",PLINE300,1.5,dara85,"",2830ZT,36003/01221
2023-01-02 17:00:00,,pilot,2023-01-03 07:00:00,,"",PLINE300,14,wei62,"",H6300,31199/00653
2023-01-02 18:30:00,,i,2023-01-02 20:00:00,,"",PLINE300,1.5,redants,"",SEMVISION,44999/01997
2023-01-02 18:33:45,,"",2023-01-02 21:37:21,3.06,vrebos45,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-02 19:29:33,,"",2023-01-02 21:30:57,2.0233333333333334,derudd92,PLINE300,,"","",VERIOS,39320/36502
2023-01-02 22:00:00,,Monitor,2023-01-03 11:00:00,,"",PLINE300,13,aubert85,"",SC3400,31199/31811
2023-01-02 22:00:00,,Monitor,2023-01-03 11:00:00,,"",PLINE300,13,aubert85,"",TR3400,31199/31811
2023-01-02 22:21:15,,"",2023-01-03 01:55:16,3.5669444444444443,gade18,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-02 22:48:14,,"",2023-01-03 06:02:30,7.237777777777778,konecn85,PLINE300,,"","",VERIOS,38199/37862
2023-01-03 02:41:45,,"",2023-01-03 04:24:04,1.7052777777777777,michal78,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-03 04:24:22,,"",2023-01-03 06:32:03,2.1280555555555556,michal78,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-03 06:00:00,,i,2023-01-03 08:00:00,,"",PLINE300,2,engelen,"",SEMVISION,44999/01997
2023-01-03 06:37:20,,"",2023-01-03 10:01:06,3.3961111111111113,decler36,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-03 06:47:56,,"",2023-01-03 13:05:17,6.289166666666667,claeseng,PLINE300,,"","",VERIOS,31199/01756
2023-01-03 07:00:00,,DFR,2023-01-03 07:30:00,,"",PLINE200,0.5,eswara57,"",ACT12_MTM,37004/37141
2023-01-03 07:00:00,,DFR,2023-01-03 08:30:00,,"",PLINE200,1.5,eswara57,"",AP300,37004/37141
2023-01-03 07:00:00,,DPC presentation,2023-01-03 12:30:00,,"",PLINE300,5.5,koryto87,"",TITAN,42199/00160
2023-01-03 07:00:00,,DPC presentation,2023-01-03 15:30:00,,"",PLINE300,8.5,koryto87,"",HELIOS_G5,42199/00160
2023-01-03 07:00:00,,i,2023-01-03 09:00:00,,"",PLINE300,2,raymae79,"",H6300,31199/01755
2023-01-03 08:00:00,,Ag Sample characterization,2023-01-03 09:30:00,,"",PLINE300,1.5,tripat41,"",NOVA200_2,97406/01185
2023-01-03 08:00:00,,sem,2023-01-03 10:00:00,,"",PLINE300,2,dvriendt,"",SEMVISION,32299/00013
2023-01-03 08:00:00,,test,2023-01-03 10:00:00,,"",PLINE300,2,dilien72,"",SC1000,31199/30079
2023-01-03 08:00:00,,test,2023-01-03 10:00:00,,"",PLINE300,2,dilien72,"",TR1000,31199/30079
2023-01-03 08:00:00,1,Xsem,2023-01-03 10:16:03,2.0508333333333333,maes72,PLINE300,2,maes72,"",SU8000,98300/14175
2023-01-03 08:55:39,1,DEVINP,2023-01-03 11:00:00,1.5852777777777778,vbelle62,PLINE300,2,vbelle62,"",NXWAFER,36003/01224
2023-01-03 09:00:00,,DFR,2023-01-03 13:00:00,,"",PLINE200,4,eswara57,"",ACT12_MTM,37004/37141
2023-01-03 09:00:00,,for Intel,2023-01-03 11:00:00,,"",PLINE300,2,guzman11,"",H6300,31199/00849
2023-01-03 09:00:00,,test,2023-01-03 10:00:00,,"",PLINE300,1,dilien72,"",TR3300,31199/30079
2023-01-03 09:30:00,,ATR-FTIR with liquid cell,2023-01-03 11:30:00,,"",PLINE300,2,wu78,"",FTIR_2,32005/00330
2023-01-03 10:00:00,,i,2023-01-03 12:00:00,,"",PLINE300,2,vrancken,"",HELIOS1200,37092/02172
2023-01-03 10:00:00,,i,2023-01-03 13:00:00,,"",PLINE300,3,raymae79,"",HITACHI5000,98601/01062
2023-01-03 10:00:00,,INPRIA,2023-01-03 14:00:00,,"",PLINE300,4,choudr12,"",TR3300,31199/31247
2023-01-03 10:00:00,,meas,2023-01-03 13:00:00,,"",PLINE300,3,baerts,"",H6300_2,31199/00653
2023-01-03 10:00:00,,test,2023-01-03 12:00:00,,"",PLINE300,2,dilien72,PM,EDR7100,31199/30079
2023-01-03 10:00:00,0,20221215-131818-fujimo16,2023-01-03 13:01:43,2.656388888888889,tielens,PLINE300,1.5,tielens,"",JVX7300M,32499/38006
2023-01-03 10:00:00,0,high compressive oxide developme,2023-01-03 11:30:00,1.2730555555555556,vgompel,PLINE300,1.5,vgompel,LP1;CHB,PRODUCER_2,98300/14175
2023-01-03 10:50:18,,"",2023-01-03 12:00:26,1.1688888888888889,vrancken,PLINE300,,"","",HELIOS1200_2,37999/37842
2023-01-03 11:00:00,,AP3 work,2023-01-03 14:00:00,,"",PLINE300,3,fukumu91,"",H6300,31199/02008
2023-01-03 11:00:00,,light training;Light Training,2023-01-03 14:00:00,,"",PLINE300,3,johnsu91;peters25,"",KLA2925,31199/02273
2023-01-03 11:00:00,,Pellicle,2023-01-04 00:00:00,,"",PLINE300,13,bekaert,"",YS250,31199/00979
2023-01-03 11:27:26,,"",2023-01-03 13:04:24,1.616111111111111,dvriendt,PLINE300,,"","",SEMVISION,32299/00013
2023-01-03 11:30:00,,purging all sources,2023-01-03 14:00:00,,"",PLINE300,2.5,thukka30,LP1;PM1,XP4_4,30990/32063
2023-01-03 12:00:00,,test,2023-01-03 14:00:00,,"",PLINE300,2,dilien72,"",H5000_2,31199/30079
2023-01-03 12:00:00,0,sem,2023-01-03 14:10:39,1.9761111111111112,beirnaer,PLINE300,2,dvriendt;beirnaer,"",NOVA200_2,32299/00013
2023-01-03 13:00:00,,High NA track qualification,2023-01-03 15:00:00,,"",PLINE300,2,vdbroecn,"",SC3400,31199/02273
2023-01-03 13:00:00,,High NA track qualification,2023-01-03 15:00:00,,"",PLINE300,2,vdbroecn,"",TR3400,31199/02273
2023-01-03 13:00:00,,Merck,2023-01-03 16:00:00,,"",PLINE300,3,hillen84,"",HITACHI5000,31199/01680
2023-01-03 13:00:00,,test,2023-01-03 13:30:00,,"",PLINE300,0.5,furuka28,PM,EDR7100,31199/01514
2023-01-03 13:00:00,,Use,2023-01-03 14:00:00,,"",PLINE300,1,debruy71,"",H6300_2,98601/01062
2023-01-03 13:19:37,,"",2023-01-03 14:51:47,1.5361111111111112,billin72,PLINE300,,"","",VERIOS,39320/36502
2023-01-03 13:30:00,,measure,2023-01-03 15:00:00,,"",PLINE300,1.5,wang24,"",HITACHI9380,31199/01889
2023-01-03 13:48:44,,"",2023-01-03 15:52:17,2.0591666666666666,vrebos45,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-03 13:58:06,0,APC,2023-01-03 15:00:00,0.9711111111111111,newman74,PLINE300,1,das89,"",H6300_2,31199/02287
2023-01-03 14:00:00,,bga spectra,2023-01-03 16:00:00,,"",PLINE300,2,canga29,"",YS375,31199/01617
2023-01-03 14:00:00,,cleave,2023-01-03 16:00:00,,"",PLINE300,2,beirnaer,"",MC10,32299/00013
2023-01-03 14:00:00,,DSA,2023-01-03 15:00:00,,"",PLINE300,1,vanbel53,"",KLA2925,31199/00650
2023-01-03 14:00:00,,JSR Private,2023-01-03 16:00:00,,"",PLINE300,2,krishn87,TOPL;BOTL,TRDUOS,31199/01513
2023-01-03 14:00:00,,Measurement,2023-01-03 17:00:00,,"",PLINE200,3,halbac65,"",WYCO,97401/00942
2023-01-03 14:00:00,,private,2023-01-03 19:00:00,,"",PLINE300,5,fukumu91,"",H6300,31199/02019
