Datim,EVENT_ROW_ID,Facility,State,State_SC,State_TR,Tool
2023-01-25 22:08:53,966258989,PLINE300,DOWN,"","",ENDURA_4
2023-01-25 22:06:42,966258443,PLINE300,DOWN,"","",TEL_TACTRAS
2023-01-25 21:53:24,966256251,PLINE300,UP,"","",DNS_9
2023-01-25 21:49:10,966255706,PLINE300,UP,"","",PRODUCER_4
2023-01-25 21:35:08,966252893,PLINE200,UP,"","",EPSILON2
2023-01-25 21:29:21,966251496,PLINE200,UP,"","",EPSILON
2023-01-25 21:29:19,966251458,PLINE300,DOWN,"","",NOKOTA
2023-01-25 21:28:14,966250797,PLINE200,UP,"","",SEZ_3
2023-01-25 21:12:50,966247868,PLINE200,DOWN,"","",CINTILLIO
2023-01-25 21:01:17,966245963,PLINE200,DOWN,"","",GRINDER
2023-01-25 20:53:44,966244451,PLINE200,DOWN,"","",SEZ_3
2023-01-25 20:46:29,966243177,PLINE200,DOWN,"","",AP300
2023-01-25 20:44:46,966242702,PLINE200,UP,"","",TELACT8_200
2023-01-25 20:33:24,966238993,PLINE300,DOWN,"","",TEL_TACTRAS3
2023-01-25 20:28:02,966237328,PLINE200,DOWN,"","",TELACT8_200
2023-01-25 20:02:36,966231169,PLINE300,UP,"","",DNS_6
2023-01-25 20:01:54,966230951,PLINE200,UP,"","",SEZ_3
2023-01-25 20:01:39,966230884,PLINE300,UP,"","",HRP340_2
2023-01-25 19:55:12,966228547,PLINE300,UP,"","",REFLEXION_2
2023-01-25 19:41:59,966224418,PLINE200,UP,"","",MIRRA_OX
2023-01-25 19:32:10,966222611,PLINE300,DOWN,"","",HRP340_2
2023-01-25 19:29:17,966221920,PLINE300,DOWN,"","",TEL_LEAGA
2023-01-25 18:16:24,966204362,PLINE300,DOWN,"","",DNS_9
2023-01-25 18:15:00,966204037,PLINE200,UP,"","",P8_POLYRAMP
2023-01-25 18:11:07,966203069,PLINE300,UP,"","",ENDURA
2023-01-25 18:08:27,966201899,PLINE300,DOWN,"","",DNS_6
2023-01-25 18:07:52,966201627,PLINE300,DOWN,"","",F_REX300X_1
2023-01-25 18:07:00,966200637,PLINE200,UP,"","",F5_2
2023-01-25 18:04:49,966200034,PLINE200,DOWN,"","",MIRRA_OX
2023-01-25 17:54:18,966197064,PLINE200,UP,"","",MARANGONI
2023-01-25 17:39:37,966184120,PLINE300,UP,"","",CENTURA_IIIV
2023-01-25 17:34:47,966182787,PLINE200,UP,"","",SAM_AW300
2023-01-25 17:33:47,966182545,PLINE200,DOWN,"","",SEZ_3
2023-01-25 17:27:42,966180634,PLINE300,DOWN,"","",A412_4
2023-01-25 17:26:28,966180114,PLINE200,UP,"","",BH800
2023-01-25 17:20:21,966178663,PLINE300,UP,"","",LEVITOR4300
2023-01-25 16:58:27,966171374,PLINE200,UP,"","",SEZ_2
2023-01-25 16:43:10,966167010,PLINE300,UP,"","",DNS_6
2023-01-25 16:42:50,966166672,PLINE200,UP,"","",HRP220_CU
2023-01-25 16:20:25,966160294,PLINE300,DOWN,"","",REFLEXION_2
2023-01-25 16:05:54,966156229,PLINE300,UP,"","",DNS_9
2023-01-25 16:02:36,966155307,PLINE200,DOWN,"","",MARANGONI
2023-01-25 16:01:02,966155062,PLINE300,UP,"","",SPECTRA10K
2023-01-25 16:00:48,966154934,PLINE300,UP,"","",ALERIS
2023-01-25 15:52:19,966152154,PLINE200,UP,"","",DNS_3
2023-01-25 15:48:45,966150651,PLINE300,DOWN,"","",PRODUCER_4
2023-01-25 15:48:39,966150562,PLINE300,DOWN,"","",CENTURA_IIIV
2023-01-25 15:45:50,966149638,PLINE300,UP,"","",REFLEXION_2
2023-01-25 15:36:19,966146115,PLINE200,DOWN,"","",SEZ_2
2023-01-25 15:33:21,966144969,PLINE300,UP,UP,UP,LithoCluster_1000
2023-01-25 15:33:21,966144969,PLINE300,UP,UP,UP,TR1000
2023-01-25 15:24:20,966142054,PLINE200,DOWN,"","",DNS_3
2023-01-25 15:09:13,966136277,PLINE300,DOWN,"","",SPECTRA10K
2023-01-25 15:09:00,966136241,PLINE300,DOWN,"","",ALERIS
2023-01-25 15:07:44,966135776,PLINE200,UP,"","",AST2
2023-01-25 14:43:00,966126482,PLINE300,DOWN,UP,DOWN,LithoCluster_1000
2023-01-25 14:43:00,966126482,PLINE300,DOWN,UP,DOWN,TR1000
2023-01-25 14:39:57,966126025,PLINE300,DOWN,"","",DNS_6
2023-01-25 14:15:23,966120283,PLINE200,DOWN,"","",SAM_AW300
2023-01-25 14:07:25,966117114,PLINE200,DOWN,"","",AST2
2023-01-25 14:04:46,966116197,PLINE300,DOWN,"","",REFLEXION_2
2023-01-25 13:39:03,966109271,PLINE200,UP,"","",TEMP_BONDER
2023-01-25 13:27:00,966106674,PLINE200,UP,"","",CENTURA_W
2023-01-25 13:17:58,966103764,PLINE300,UP,"","",TEL_TACTRAS
2023-01-25 13:04:50,966100056,PLINE200,DOWN,"","",MIRRA_3
2023-01-25 13:01:18,966099338,PLINE300,UP,"","",EP5
2023-01-25 12:50:54,966097901,PLINE300,UP,"","",KLA2925
2023-01-25 12:50:19,966097857,PLINE200,DOWN,"","",EPSILON
2023-01-25 12:48:29,966097757,PLINE300,DOWN,"","",A412
