Begin,Description,End,FACILITY,Module,RES_TK,Tool,User_id,WBS
2023-01-02 06:00:00,i,2023-01-02 08:00:00,PLINE300,"",4205750,SEMVISION,engelen,44999/01997
2023-01-02 07:30:00,proc dev,2023-01-02 08:30:00,PLINE300,"",4209195,H6300_2,ramane56,31199/02273
2023-01-02 08:30:00,XSEM,2023-01-02 10:00:00,PLINE300,"",4209258,SU8000,maes72,98300/14175
2023-01-02 09:00:00,Use,2023-01-02 11:00:00,PLINE300,"",4209173,H6300,zidan45,31199/01918
2023-01-02 10:00:00,PSI measu. analy. AE231258,2023-01-02 15:00:00,PLINE300,"",4209346,ZETA,tuncaa41,31199/00653
2023-01-02 10:00:00,TEM prep,2023-01-02 17:00:00,PLINE300,"",4209345,HELIOS_G5,drijboom,42199/00160
2023-01-02 11:00:00,sem,2023-01-02 12:00:00,PLINE300,"",4209259,SEMVISION,dvriendt,32299/00013
2023-01-02 11:00:00,Use,2023-01-02 12:00:00,PLINE300,"",4209284,H6300,zidan45,31199/01918
2023-01-02 12:00:00,Zeon,2023-01-02 14:00:00,PLINE300,"",4209175,H6300,akihid10,31007/30121
2023-01-02 13:00:00,pellicle,2023-01-03 00:00:00,PLINE300,"",4209169,YS250,bekaert,31199/00979
2023-01-02 13:00:00,Purging all source lines,2023-01-02 18:30:00,PLINE300,LP1,4209385,XP4_4,chauha79,30990/32063
2023-01-02 13:00:00,Purging all source lines,2023-01-02 18:30:00,PLINE300,PM1,4209386,XP4_4,chauha79,30990/32063
2023-01-02 14:00:00,i,2023-01-02 15:00:00,PLINE300,"",4205751,SEMVISION,maes72,44999/01997
2023-01-02 14:30:00,Use,2023-01-02 15:30:00,PLINE300,"",4219860,H6300,zidan45,31199/01918
2023-01-02 15:00:00,ATR-FTIR with liquid cell,2023-01-02 19:00:00,PLINE300,"",4209285,FTIR_2,wu78,32005/00330
2023-01-02 15:00:00,check recipe,2023-01-02 18:00:00,PLINE300,"",4209279,NXWAFER,nong52,36003/01224
2023-01-02 15:30:00,proc dev,2023-01-02 16:30:00,PLINE300,"",4209194,H6300,ramane56,31199/02273
2023-01-02 15:30:00,SPC test after xmas shutdown,2023-01-02 17:00:00,PLINE300,"",4219988,2830ZT,dara85,36003/01221
2023-01-02 17:00:00,pilot,2023-01-03 00:00:00,PLINE300,"",4209177,H6300,wei62,31199/00653
2023-01-02 18:30:00,i,2023-01-02 20:00:00,PLINE300,"",4205752,SEMVISION,redants,44999/01997
2023-01-02 22:00:00,monitor,2023-01-03 00:00:00,PLINE300,"",4204586,SC3400,aubert85,31199/31811
2023-01-02 22:00:00,monitor,2023-01-03 00:00:00,PLINE300,"",4204587,TR3400,aubert85,31199/31811
2023-01-03 00:00:00,monitor,2023-01-03 11:00:00,PLINE300,"",4204588,SC3400,aubert85,31199/31811
2023-01-03 00:00:00,monitor,2023-01-03 11:00:00,PLINE300,"",4204589,TR3400,aubert85,31199/31811
2023-01-03 00:00:00,pilot,2023-01-03 07:00:00,PLINE300,"",4209198,H6300,wei62,31199/00653
2023-01-03 06:00:00,i,2023-01-03 08:00:00,PLINE300,"",4206369,SEMVISION,engelen,44999/01997
2023-01-03 07:00:00,DFR,2023-01-03 07:30:00,PLINE200,"",4209353,ACT12_MTM,eswara57,37004/37141
2023-01-03 07:00:00,DFR,2023-01-03 08:30:00,PLINE200,"",4209352,AP300,eswara57,37004/37141
2023-01-03 07:00:00,DPC presentation,2023-01-03 12:30:00,PLINE300,"",4206477,TITAN,koryto87,42199/00160
2023-01-03 07:00:00,DPC presentation,2023-01-03 15:30:00,PLINE300,"",4206479,HELIOS_G5,koryto87,42199/00160
2023-01-03 07:00:00,i,2023-01-03 09:00:00,PLINE300,"",4209264,H6300,raymae79,31199/01755
2023-01-03 08:00:00,Ag Sample characterization,2023-01-03 09:30:00,PLINE300,"",4219994,NOVA200_2,tripat41,97406/01185
2023-01-03 08:00:00,sem,2023-01-03 10:00:00,PLINE300,"",4209260,SEMVISION,dvriendt,32299/00013
2023-01-03 08:00:00,test,2023-01-03 10:00:00,PLINE300,"",4209189,SC1000,dilien72,31199/30079
2023-01-03 08:00:00,test,2023-01-03 10:00:00,PLINE300,"",4209190,TR1000,dilien72,31199/30079
2023-01-03 08:00:00,XSEM,2023-01-03 10:00:00,PLINE300,"",4209365,SU8000,maes72,98300/14175
2023-01-03 09:00:00,devinp,2023-01-03 11:00:00,PLINE300,"",4220119,NXWAFER,vbelle62,36003/01224
2023-01-03 09:00:00,DFR,2023-01-03 13:00:00,PLINE200,"",4209357,ACT12_MTM,eswara57,37004/37141
2023-01-03 09:00:00,for Intel,2023-01-03 11:00:00,PLINE300,"",4132757,H6300,guzman11,31199/00849
2023-01-03 09:00:00,test,2023-01-03 10:00:00,PLINE300,"",4219861,TR3300,dilien72,31199/30079
2023-01-03 09:30:00,ATR-FTIR with liquid cell,2023-01-03 11:30:00,PLINE300,"",4220052,FTIR_2,wu78,32005/00330
2023-01-03 10:00:00,20221215-131818-fujimo16,2023-01-03 11:30:00,PLINE300,"",4209079,JVX7300M,tielens,32499/38006
2023-01-03 10:00:00,high compressive oxide developme,2023-01-03 11:30:00,PLINE300,CHB,4211148,PRODUCER_2,vgompel,98300/14175
2023-01-03 10:00:00,high compressive oxide developme,2023-01-03 11:30:00,PLINE300,LP1,4211149,PRODUCER_2,vgompel,98300/14175
2023-01-03 10:00:00,i,2023-01-03 12:00:00,PLINE300,"",4206380,HELIOS1200,vrancken,37092/02172
2023-01-03 10:00:00,i,2023-01-03 13:00:00,PLINE300,"",4209272,HITACHI5000,raymae79,98601/01062
2023-01-03 10:00:00,Inpria,2023-01-03 14:00:00,PLINE300,"",4209369,TR3300,choudr12,31199/31247
2023-01-03 10:00:00,meas,2023-01-03 12:00:00,PLINE300,"",4219976,H6300_2,baerts,31199/00653
2023-01-03 10:00:00,test,2023-01-03 12:00:00,PLINE300,PM,4219848,EDR7100,dilien72,31199/30079
2023-01-03 11:00:00,AP3 work,2023-01-03 14:00:00,PLINE300,"",4209245,H6300,fukumu91,31199/02008
2023-01-03 11:00:00,light training,2023-01-03 13:00:00,PLINE300,"",4220113,KLA2925,johnsu91,31199/02273
2023-01-03 11:00:00,pellicle,2023-01-04 00:00:00,PLINE300,"",4219975,YS250,bekaert,31199/00979
2023-01-03 11:30:00,purging all sources,2023-01-03 14:00:00,PLINE300,LP1,4220191,XP4_4,thukka30,30990/32063
2023-01-03 11:30:00,purging all sources,2023-01-03 14:00:00,PLINE300,PM1,4220192,XP4_4,thukka30,30990/32063
2023-01-03 12:00:00,meas,2023-01-03 12:30:00,PLINE300,"",4220203,H6300_2,baerts,31199/00653
2023-01-03 12:00:00,sem,2023-01-03 12:30:00,PLINE300,"",4209344,NOVA200_2,dvriendt,32299/00013
2023-01-03 12:00:00,test,2023-01-03 14:00:00,PLINE300,"",4219850,H5000_2,dilien72,31199/30079
2023-01-03 12:30:00,meas,2023-01-03 13:00:00,PLINE300,"",4220212,H6300_2,baerts,31199/00653
2023-01-03 12:30:00,sem,2023-01-03 14:00:00,PLINE300,"",4220215,NOVA200_2,beirnaer,32299/00013
2023-01-03 13:00:00,High NA track qualification,2023-01-03 15:00:00,PLINE300,"",4201164,SC3400,vdbroecn,31199/02273
2023-01-03 13:00:00,High NA track qualification,2023-01-03 15:00:00,PLINE300,"",4201165,TR3400,vdbroecn,31199/02273
2023-01-03 13:00:00,light training,2023-01-03 14:00:00,PLINE300,"",4209372,KLA2925,peters25,31199/02273
2023-01-03 13:00:00,Merck,2023-01-03 16:00:00,PLINE300,"",4219870,HITACHI5000,hillen84,31199/01680
2023-01-03 13:00:00,test,2023-01-03 13:30:00,PLINE300,PM,4220050,EDR7100,furuka28,31199/01514
2023-01-03 13:00:00,Use,2023-01-03 14:00:00,PLINE300,"",4209380,H6300_2,debruy71,98601/01062
2023-01-03 13:30:00,measure,2023-01-03 15:00:00,PLINE300,"",4220179,HITACHI9380,wang24,31199/01889
2023-01-03 14:00:00,APC,2023-01-03 15:00:00,PLINE300,"",4220040,H6300_2,das89,31199/02287
2023-01-03 14:00:00,bga spectra,2023-01-03 16:00:00,PLINE300,"",4220241,YS375,canga29,31199/01617
