DATE_TIME_STAMP_Begin,DATE_TIME_STAMP_End,EVENT_ROW_ID_Begin,EVENT_ROW_ID_End,FO_ROW_ID,ResTk,USER_ID_Begin,USER_ID_End,WBS
2023-01-02 08:58:58,2023-01-02 09:36:57,959606375,959609747,5443,4209258,maes72,maes72,98300/14175
2023-01-02 07:39:21,2023-01-02 12:57:09,959595717,959655576,20568,N/a,dutrow20,dutrow20,39320/36502
2023-01-02 07:43:40,2023-01-02 13:45:46,959596295,959676240,20579,N/a,sterke41,sterke41,39320/36502
2023-01-02 10:05:11,2023-01-02 14:07:29,959616189,959681430,10449,N/a,nelisl,nelisl,42199/00160
2023-01-02 15:13:51,2023-01-02 16:18:00,959696395,959711384,22450,4209279,nong52,nong52,36003/01224
2023-01-02 14:14:54,2023-01-02 17:53:54,959682721,959733408,20568,N/a,derudd92,derudd92,39320/36502
2023-01-02 14:16:57,2023-01-02 17:57:13,959682989,959735879,20579,N/a,vrebos45,vrebos45,39320/36502
2023-01-02 19:29:33,2023-01-02 21:30:57,959765406,959778416,20579,N/a,derudd92,derudd92,39320/36502
2023-01-02 18:33:45,2023-01-02 21:37:21,959757878,959779997,20568,N/a,vrebos45,vrebos45,39320/36502
2023-01-02 22:21:15,2023-01-03 01:55:16,959785157,959816154,20568,N/a,gade18,gade18,39320/36502
2023-01-03 02:41:45,2023-01-03 04:24:04,959823173,959831445,20568,N/a,michal78,michal78,39320/36502
2023-01-02 22:48:14,2023-01-03 06:02:30,959791573,959847482,20579,N/a,konecn85,konecn85,38199/37862
2023-01-03 04:24:22,2023-01-03 06:32:03,959831477,959851212,20568,N/a,michal78,michal78,39320/36502
2023-01-03 06:37:20,2023-01-03 10:01:06,959852030,959881923,20568,N/a,decler36,decler36,39320/36502
2023-01-03 08:13:00,2023-01-03 10:16:03,959866765,959888749,5443,4209365,maes72,maes72,98300/14175
2023-01-03 08:55:39,2023-01-03 10:30:46,959869050,959895423,22450,4220119,vbelle62,vbelle62,36003/01224
2023-01-03 10:04:02,2023-01-03 11:20:25,959883542,959924954,1056,4211149,vgompel,vgompel,98300/14175
2023-01-03 10:50:18,2023-01-03 12:00:26,959902201,959936049,20568,N/a,vrancken,vrancken,37999/37842
2023-01-03 10:22:20,2023-01-03 13:01:43,959890923,959948573,8487,4209079,tielens,tielens,32499/38006
2023-01-03 10:21:07,2023-01-03 13:03:30,959890399,959949297,7554,4209272,schrauw,hillen84,98601/01062
2023-01-03 11:27:26,2023-01-03 13:04:24,959927701,959949955,4926,4209260,dvriendt,dvriendt,32299/00013
2023-01-03 06:47:56,2023-01-03 13:05:17,959853649,959950093,20579,N/a,claeseng,claeseng,31199/01756
2023-01-03 12:34:00,2023-01-03 13:48:15,959942923,959960425,20568,N/a,sterke41,vrebos45,39320/36502
2023-01-03 10:24:26,2023-01-03 13:57:45,959892119,959964211,20573,4219976,schrauw,newman74,31199/00653
2023-01-03 12:12:05,2023-01-03 14:10:39,959937480,959968280,4673,4209344,beirnaer,beirnaer,32299/00013
2023-01-03 13:19:37,2023-01-03 14:51:47,959954421,959978753,20579,N/a,billin72,billin72,39320/36502
2023-01-03 13:58:06,2023-01-03 14:56:22,959964372,959979836,20573,4220040,newman74,newman74,31199/02287
2023-01-03 14:05:11,2023-01-03 14:57:48,959966576,959980164,4926,4206370,maes72,maes72,44999/01997
2023-01-03 13:03:44,2023-01-03 15:30:25,959949336,959989098,7554,4219870,hillen84,hofman72,31199/01680
2023-01-03 13:48:44,2023-01-03 15:52:17,959960571,959995045,20568,N/a,vrebos45,vrebos45,39320/36502
2023-01-03 15:08:39,2023-01-03 16:20:04,959982380,959999270,21501,4220181,li99,li99,38199/01715
2023-01-03 15:51:56,2023-01-03 17:38:04,959995007,960012844,10907,N/a,vrebos45,vrebos45,39320/36502
2023-01-03 15:02:35,2023-01-03 18:25:31,959981047,960040878,21934,4220103,janard53,janard53,38199/00432
2023-01-03 14:56:52,2023-01-03 18:43:34,959980007,960043218,20579,N/a,derudd92,vrebos45,39320/36502
2023-01-03 15:06:52,2023-01-03 19:35:05,959982096,960052135,11926,N/a,impagn97,impagn97,42199/00160
2023-01-03 19:25:06,2023-01-03 20:08:01,960050669,960058635,4673,4219909,aarts61,aarts61,97406/01185
2023-01-03 18:44:04,2023-01-03 21:14:38,960043256,960066104,20579,N/a,vrebos45,vrebos45,39320/36502
2023-01-03 18:57:32,2023-01-03 21:22:00,960045157,960067002,10907,N/a,derudd92,derudd92,39320/36502
2023-01-03 15:52:57,2023-01-03 22:33:15,959995122,960079170,20568,N/a,lookma25,gade18,39320/36502
2023-01-03 22:31:38,2023-01-03 23:23:11,960078732,960088323,4926,N/a,michal78,michal78,39320/36502
2023-01-03 22:08:36,2023-01-04 01:37:33,960073673,960100628,10907,N/a,konecn85,konecn85,97700/01368
2023-01-03 21:56:08,2023-01-04 01:49:38,960070740,960102065,20579,N/a,vdstaey,vdstaey,39320/36502
2023-01-03 22:34:11,2023-01-04 01:54:53,960079302,960102420,20568,N/a,gade18,gade18,39320/36502
2023-01-03 23:23:24,2023-01-04 03:01:21,960088342,960108452,4926,N/a,michal78,michal78,39320/36502
2023-01-04 03:01:38,2023-01-04 03:30:22,960108459,960111360,4926,N/a,michal78,michal78,39320/36502
2023-01-04 02:41:10,2023-01-04 05:50:47,960106950,960131617,20579,N/a,konecn85,konecn85,31499/00379
2023-01-04 02:07:41,2023-01-04 06:00:38,960103473,960132759,10907,N/a,vdstaey,vdstaey,39320/36502
2023-01-04 04:14:00,2023-01-04 06:23:06,960115051,960134245,20568,N/a,michal78,michal78,39320/36502
2023-01-04 06:19:56,2023-01-04 07:53:09,960133917,960153555,10907,N/a,sterke41,sterke41,39320/36502
2023-01-04 07:20:47,2023-01-04 07:57:16,960145795,960154321,8907,4219856,nedelj21,nedelj21,36004/01224
2023-01-04 03:34:26,2023-01-04 08:19:26,960111770,960157785,5443,4209035,caluwaer,billin72,42199/00160
2023-01-04 08:19:52,2023-01-04 09:23:15,960157831,960162692,5443,N/a,billin72,billin72,39320/36502
2023-01-03 15:54:41,2023-01-04 09:28:38,959995426,960163220,8786,4205514,talmel16,talmel16,31499/02180
2023-01-04 06:27:39,2023-01-04 09:37:17,960134839,960165698,20568,N/a,decler36,decler36,39320/36502
2023-01-04 07:49:36,2023-01-04 09:47:44,960152559,960167761,8133,4209183,dekeys25,cloost23,31199/30079
2023-01-04 09:35:05,2023-01-04 09:51:51,960165313,960168261,20749,4209185,cloost23,cloost23,31199/30079
2023-01-04 09:34:53,2023-01-04 09:52:07,960165304,960168329,20795,4209184,cloost23,cloost23,31199/30079
2023-01-04 07:55:36,2023-01-04 09:57:04,960153973,960169839,10907,4209046,dangol,dangol,37092/02172
2023-01-03 11:20:20,2023-01-04 10:17:08,959924888,960183219,11108,4219975,bekaert,1f8psvc,31199/00979
2023-01-04 08:40:56,2023-01-04 10:36:53,960159623,960188482,4673,4220331,leruth67,leruth67,44999/01997
2023-01-04 09:15:16,2023-01-04 11:30:41,960161631,960202225,9588,4220291,verstr99,verstr99,31199/00650
