Begin,End,Fab300_Res_id,FACILITY,ResTk,Tool,User_id,WBS
2023-01-25 09:26:38,2023-01-25 14:01:35,0,PLINE200,4235227,SAM300,chen70,38199/01132
2023-01-09 09:16:33,2023-01-09 13:38:30,1,PLINE300,4229197,REFLEXION_2,dewild34,31399/31519
2023-01-11 06:25:31,2023-01-11 12:48:38,2,PLINE300,4230060,REFLEXION_2,raymaek,31399/00039
2023-01-12 06:25:19,2023-01-12 12:23:39,3,PLINE300,4230066,REFLEXION_2,raymaek,31399/00039
2023-01-13 10:45:05,2023-01-13 14:48:21,4,PLINE300,4231589,REFLEXION_2,dewild34,31399/31519
2023-01-16 21:50:04,2023-01-17 01:15:31,5,PLINE300,4230965,REFLEXION_2,raymaek,43900/02205
2023-01-17 01:15:43,2023-01-17 04:17:45,6,PLINE300,4230968,REFLEXION_2,raymaek,43900/02205
2023-01-17 09:46:58,2023-01-17 15:31:10,7,PLINE300,4232611,REFLEXION_2,dewild34,32099/01506
2023-01-17 22:02:34,2023-01-18 00:10:44,8,PLINE300,4232776,REFLEXION_2,raymaek,31399/00039
2023-01-18 22:02:08,2023-01-19 02:02:01,9,PLINE300,4232706,REFLEXION_2,raymaek,32299/01936
2023-01-19 22:05:57,2023-01-20 01:07:21,10,PLINE300,4232788,REFLEXION_2,raymaek,31399/00039
2023-01-20 11:23:31,2023-01-20 15:29:54,11,PLINE300,4233220,REFLEXION_2,dewild34,32299/01084
2023-01-24 12:59:58,2023-01-24 16:32:04,12,PLINE300,4234839,REFLEXION_2,dewild34,32005/01717
2023-01-25 07:07:20,2023-01-25 10:38:11,13,PLINE200,N/a,AMAT_MEK,leyssens,39424/01221
2023-01-19 18:45:42,2023-01-19 20:14:58,14,PLINE200,4233485,AMAT_MEK,leyssens,98300/01969
2023-01-24 08:52:29,2023-01-24 12:14:51,15,PLINE200,4234883,P3_NITRIDE,vlanck26,97401/02108
2023-01-24 16:29:00,2023-01-24 18:10:34,16,PLINE200,4234811,TELACT8_750,cooman32,31199/02272
2023-01-04 18:23:36,2023-01-04 19:35:48,17,PLINE300,4220034,DNS_4,verstr99,31199/00650
2023-01-05 09:33:59,2023-01-05 13:27:55,18,PLINE300,4228757,DNS_4,sebai,32399/30027
2023-01-06 14:15:53,2023-01-06 15:37:44,19,PLINE300,4229029,DNS_4,mehdi55,30990/02249
2023-01-10 15:03:29,2023-01-10 16:50:46,20,PLINE300,4229205,DNS_4,vanbel53,31199/00650
2023-01-19 10:00:19,2023-01-19 10:45:35,21,PLINE300,4233344,DNS_4,rahmat49,30990/32063
2023-01-19 17:22:00,2023-01-19 17:42:52,22,PLINE300,4233146,DNS_4,vanbel53,31199/00650
2023-01-25 10:39:17,2023-01-25 14:44:03,23,PLINE300,4234664,CELLESTA,annama94,32005/01084
2023-01-25 14:52:23,2023-01-25 15:35:25,24,PLINE300,4235354,SC1950,tseng69,36056/01225
2023-01-06 11:00:11,2023-01-06 11:30:47,25,PLINE300,4229005,H6300,hillen84,31199/01680
2023-01-19 12:33:16,2023-01-19 13:52:10,26,PLINE300,4232926,H6300,verdui16,31199/02197
2023-01-20 15:24:59,2023-01-20 17:28:14,27,PLINE300,4232933,H6300,verdui16,31199/02197
2023-01-20 22:51:28,2023-01-22 02:31:08,28,PLINE300,4232571,H6300,irutha45,98601/00962
2023-01-05 08:50:34,2023-01-05 09:54:48,29,PLINE300,4209180,SC1000,cloost23,31199/30079
2023-01-07 09:02:17,2023-01-07 10:25:18,30,PLINE300,4228695,SC1000,wouter12,31199/30079
2023-01-09 08:51:03,2023-01-09 09:54:22,31,PLINE300,4228836,SC1000,cloost23,31199/30079
2023-01-11 08:00:32,2023-01-11 10:11:42,32,PLINE300,4219995,SC1000,dekeys25,31199/30079
2023-01-12 08:06:12,2023-01-12 10:01:07,33,PLINE300,4219997,SC1000,cloost23,31199/30079
2023-01-20 08:05:53,2023-01-20 10:03:10,34,PLINE300,4230110,SC1000,dekeys25,31199/30079
2023-01-20 17:20:26,2023-01-20 19:12:49,35,PLINE300,4233119,SC1000,doms,31199/30079
2023-01-22 08:01:53,2023-01-22 10:02:06,36,PLINE300,4233121,SC1000,le27,31199/30079
2023-01-24 07:39:14,2023-01-24 09:44:28,37,PLINE300,4232357,SC1000,jacobs41,31199/01513
2023-01-12 14:28:57,2023-01-12 16:48:53,38,PLINE300,4231438,SC1000,hofman72,31199/01706
2023-01-12 18:04:33,2023-01-12 18:57:51,39,PLINE300,4228699,SC1000,lecocq91,31199/30079
2023-01-13 08:36:30,2023-01-13 09:58:49,40,PLINE300,4219999,SC1000,maessc90,31199/30079
2023-01-14 07:57:50,2023-01-14 10:59:13,41,PLINE300,4231261,SC1000,wouter12,31199/30079
2023-01-15 08:00:26,2023-01-15 10:04:38,42,PLINE300,4228703,SC1000,le27,31199/30079
2023-01-19 08:00:27,2023-01-19 10:10:10,43,PLINE300,4230108,SC1000,dekeys25,31199/30079
2023-01-12 06:32:46,2023-01-12 07:55:14,44,PLINE300,N/a,REFLEXION,raymaek,38199/01907
2023-01-08 21:49:41,2023-01-09 01:05:06,45,PLINE300,4229449,REFLEXION,raymaek,31299/01083
2023-01-12 16:51:41,2023-01-12 18:03:23,46,PLINE300,4231382,ALERIS,thomas96,31199/01513
2023-01-05 13:58:01,2023-01-05 16:49:09,47,PLINE300,N/a,ENDURA_3,dekkers,31499/01284
2023-01-11 10:18:32,2023-01-11 11:14:40,48,PLINE300,4230147,ENDURA_3,wellens,37037/01743
2023-01-13 14:00:38,2023-01-13 17:19:09,49,PLINE300,4231782,NX3DM,vbelle62,36003/01224
2023-01-14 13:44:14,2023-01-14 18:08:56,50,PLINE300,4232051,NX3DM,vbelle62,36003/01224
2023-01-15 13:17:39,2023-01-15 18:28:18,51,PLINE300,4232121,NX3DM,vbelle62,36003/01224
2023-01-17 09:22:02,2023-01-17 12:57:47,52,PLINE300,4232720,NX3DM,vbelle62,36003/01224
2023-01-17 19:41:26,2023-01-17 21:01:51,53,PLINE300,4233093,NX3DM,nong52,36003/01224
2023-01-25 15:48:29,2023-01-25 16:28:24,54,PLINE300,4235500,NX3DM,vbelle62,36003/01224
2023-01-03 15:54:41,2023-01-04 09:28:38,55,PLINE200,4205514,EV11,talmel16,31499/02180
2023-01-09 10:15:09,2023-01-09 15:33:57,56,PLINE200,4229421,EV11,jansse23,31499/00432
2023-01-09 16:47:24,2023-01-10 09:14:58,57,PLINE200,4229319,EV11,talmel16,31499/02180
2023-01-10 17:31:47,2023-01-11 09:14:12,58,PLINE200,4229321,EV11,talmel16,31499/02180
2023-01-10 17:29:03,2023-01-10 21:40:11,59,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-11 20:11:27,2023-01-11 21:07:43,60,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-12 14:49:57,2023-01-12 22:18:35,61,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-13 17:05:29,2023-01-13 21:37:18,62,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-18 08:11:53,2023-01-18 14:32:57,63,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-19 12:34:35,2023-01-19 15:06:32,64,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-23 16:03:00,2023-01-23 19:14:13,65,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-24 15:09:26,2023-01-24 21:37:21,66,PLINE300,N/a,EXSOLVE,koryto87,42199/00160
2023-01-05 03:41:30,2023-01-05 06:00:05,67,PLINE300,N/a,METRIOS,gade18,39320/36502
2023-01-06 03:57:16,2023-01-06 05:53:55,68,PLINE300,N/a,METRIOS,gade18,39320/36502
2023-01-07 12:42:35,2023-01-07 16:46:06,69,PLINE300,N/a,METRIOS,zeleni15,39320/36502
2023-01-09 10:47:02,2023-01-09 13:30:21,70,PLINE300,N/a,METRIOS,zeleni15,39320/36502
2023-01-11 11:39:45,2023-01-11 13:43:50,71,PLINE300,N/a,METRIOS,seidelf,39320/36502
2023-01-12 17:46:22,2023-01-12 21:03:46,72,PLINE300,N/a,METRIOS,lookma25,39320/36502
2023-01-16 14:18:39,2023-01-16 18:19:44,73,PLINE300,N/a,METRIOS,martin29,42199/00160
2023-01-17 14:12:16,2023-01-17 17:58:36,74,PLINE300,N/a,METRIOS,martin29,42199/00160
2023-01-23 14:12:11,2023-01-23 18:03:10,75,PLINE300,N/a,METRIOS,martin29,42199/00160
2023-01-24 15:33:33,2023-01-24 17:35:22,76,PLINE300,N/a,METRIOS,martin29,42199/00160
2023-01-23 12:31:38,2023-01-23 14:03:59,77,PLINE300,N/a,METRIOS,gade18,39320/36502
2023-01-24 01:24:48,2023-01-24 03:20:09,78,PLINE300,N/a,METRIOS,lookma25,39320/36502
2023-01-25 02:42:12,2023-01-25 05:59:53,79,PLINE300,N/a,METRIOS,lookma25,39320/36502
2023-01-25 13:14:04,2023-01-25 14:04:00,80,PLINE300,N/a,METRIOS,daniel12,39320/36502
2023-01-11 13:52:36,2023-01-11 18:01:05,81,PLINE300,N/a,METRIOS,martin29,42199/00160
2023-01-12 14:13:19,2023-01-12 17:23:15,82,PLINE300,N/a,METRIOS,martin29,42199/00160
