Begin,Description,End,FACILITY,IIO_Res_id,Modules,Tool,User_id,WBS
2023-01-02 06:00:00,i,2023-01-02 08:00:00,PLINE300,964,"",SEMVISION,engelen,44999/01997
2023-01-02 07:30:00,proc dev,2023-01-02 08:30:00,PLINE300,1226,"",H6300_2,ramane56,31199/02273
2023-01-02 08:30:00,Xsem,2023-01-02 10:00:00,PLINE300,293,"",SU8000,maes72,98300/14175
2023-01-02 09:00:00,Use,2023-01-02 12:00:00,PLINE300,181,"",H6300,zidan45,31199/01918
2023-01-02 11:00:00,sem,2023-01-02 12:00:00,PLINE300,891,"",SEMVISION,dvriendt,32299/00013
2023-01-02 12:00:00,Zeon,2023-01-02 14:00:00,PLINE300,1495,"",H6300,akihid10,31007/30121
2023-01-02 10:00:00,PSI measu. analy. AE231258,2023-01-02 15:00:00,PLINE300,489,"",ZETA,tuncaa41,31199/00653
2023-01-02 14:00:00,i,2023-01-02 15:00:00,PLINE300,965,"",SEMVISION,maes72,44999/01997
2023-01-02 14:30:00,Use,2023-01-02 15:30:00,PLINE300,182,"",H6300,zidan45,31199/01918
2023-01-02 15:30:00,proc dev,2023-01-02 16:30:00,PLINE300,1559,"",H6300,ramane56,31199/02273
2023-01-02 10:00:00,tem prep,2023-01-02 17:00:00,PLINE300,1089,"",HELIOS_G5,drijboom,42199/00160
2023-01-02 15:30:00,SPC test after xmas shutdown,2023-01-02 17:00:00,PLINE300,336,"",2830ZT,dara85,36003/01221
2023-01-02 15:00:00,check recipe,2023-01-02 18:00:00,PLINE300,369,"",NXWAFER,nong52,36003/01224
2023-01-02 13:00:00,Purging all source lines,2023-01-02 18:30:00,PLINE300,1921,LP1;PM1,XP4_4,chauha79,30990/32063
2023-01-02 15:00:00,ATR-FTIR with liquid cell,2023-01-02 19:00:00,PLINE300,764,"",FTIR_2,wu78,32005/00330
2023-01-02 18:30:00,i,2023-01-02 20:00:00,PLINE300,966,"",SEMVISION,redants,44999/01997
2023-01-02 13:00:00,pellicle,2023-01-03 00:00:00,PLINE300,420,"",YS250,bekaert,31199/00979
2023-01-02 17:00:00,pilot,2023-01-03 07:00:00,PLINE300,1582,"",H6300,wei62,31199/00653
2023-01-03 07:00:00,DFR,2023-01-03 07:30:00,PLINE200,1743,"",ACT12_MTM,eswara57,37004/37141
2023-01-03 06:00:00,i,2023-01-03 08:00:00,PLINE300,967,"",SEMVISION,engelen,44999/01997
2023-01-03 07:00:00,DFR,2023-01-03 08:30:00,PLINE200,1773,"",AP300,eswara57,37004/37141
2023-01-03 07:00:00,i,2023-01-03 09:00:00,PLINE300,1605,"",H6300,raymae79,31199/01755
2023-01-03 08:00:00,Ag Sample characterization,2023-01-03 09:30:00,PLINE300,206,"",NOVA200_2,tripat41,97406/01185
2023-01-03 08:00:00,sem,2023-01-03 10:00:00,PLINE300,892,"",SEMVISION,dvriendt,32299/00013
2023-01-03 08:00:00,test,2023-01-03 10:00:00,PLINE300,20,"",SC1000,dilien72,31199/30079
