FO_ROW_ID,ResTk,ResWBS,EVENT_ROW_ID,USER_ID,DATE_TIME_STAMP
74,4231350,32414/01368,962599107,alcott43,13/01/2023 9:57
74,NULL,NULL,962790924,alcott43,13/01/2023 19:44
74,4231356,32414/32513,963327441,alcott43,16/01/2023 10:46
74,NULL,NULL,963448765,alcott43,16/01/2023 17:18
74,4232067,32414/32513,963653801,alcott43,17/01/2023 9:47
74,NULL,NULL,963821395,alcott43,17/01/2023 18:22
74,4233377,32414/01368,965479972,alcott43,23/01/2023 15:24
74,NULL,NULL,965626045,alcott43,23/01/2023 22:59
74,4234404,32414/01368,965801713,alcott43,24/01/2023 14:13
74,NULL,NULL,966024273,alcott43,25/01/2023 7:25
74,4234409,32414/01368,966112814,alcott43,25/01/2023 13:48
74,NULL,NULL,966257068,alcott43,25/01/2023 21:57
79,4233385,30990/32063,964321558,patel41,19/01/2023 10:06
79,NULL,NULL,964347420,patel41,19/01/2023 11:14
79,4233762,30990/02250,964799904,patel41,20/01/2023 15:58
79,NULL,NULL,964818802,patel41,20/01/2023 16:51
262,4234219,39425/01221,965185566,ceuppenj,22/01/2023 6:17
262,NULL,NULL,965195934,ceuppenj,22/01/2023 7:49
263,4231028,31499/00881,962310296,cottd,12/01/2023 11:55
263,NULL,NULL,962475415,cottd,12/01/2023 22:18
429,4229870,31199/02273,961665193,negreira,10/01/2023 12:04
429,NULL,NULL,961684401,negreira,10/01/2023 13:42
429,4229973,30990/32063,961692110,hsingy35,10/01/2023 14:05
429,NULL,NULL,961700537,hsingy35,10/01/2023 14:31
429,4230847,30990/32063,961954137,stokhof,11/01/2023 10:10
429,NULL,NULL,961981595,stokhof,11/01/2023 11:28
429,4231367,32499/32513,962567496,rondas,13/01/2023 7:55
429,NULL,NULL,962580715,rondas,13/01/2023 8:50
429,4231642,30990/32063,962605432,stokhof,13/01/2023 10:22
429,NULL,NULL,962618026,stokhof,13/01/2023 11:04
429,4231719,31199/02273,962632686,negreira,13/01/2023 11:51
429,NULL,NULL,962679410,christ42,13/01/2023 14:22
429,4232140,31199/01617,963385330,huang72,16/01/2023 13:56
429,NULL,NULL,963401427,huang72,16/01/2023 14:57
429,4232174,30990/32063,963424233,viva82,16/01/2023 16:03
429,NULL,NULL,963437113,huang72,16/01/2023 16:38
429,4232428,32499/32513,963637698,rondas,17/01/2023 8:07
429,NULL,NULL,963639451,rondas,17/01/2023 8:18
429,4232177,30990/32063,963666013,stokhof,17/01/2023 10:23
429,NULL,NULL,963669873,stokhof,17/01/2023 10:37
429,4232354,31199/02273,963696421,negreira,17/01/2023 12:00
429,NULL,NULL,963705662,negreira,17/01/2023 13:00
429,4232578,31199/01617,963762511,huang72,17/01/2023 15:57
429,NULL,NULL,963781266,huang72,17/01/2023 17:00
429,4232775,30990/32063,963989820,gianna53,18/01/2023 9:46
429,NULL,NULL,963996467,gianna53,18/01/2023 10:12
429,4233154,32499/32513,964292587,rondas,19/01/2023 7:50
429,NULL,NULL,964298637,rondas,19/01/2023 8:25
429,4233468,30990/02249,964364878,houben21,19/01/2023 11:58
429,NULL,NULL,964379636,houben21,19/01/2023 13:02
429,4234894,30990/02249,965727372,lo60,24/01/2023 9:58
429,NULL,NULL,965751372,lo60,24/01/2023 11:02
433,N/a,36026/01221,963396238,gocyla74,16/01/2023 14:42
433,NULL,NULL,963406480,gocyla74,16/01/2023 15:16
695,4232302,32102/01048,965016351,wellens,21/01/2023 7:59
695,NULL,NULL,965052879,wellens,21/01/2023 11:32
736,NULL,NULL,960548290,groven85,05/01/2023 16:45
736,4229175,31499/00880,960548291,groven85,05/01/2023 16:45
736,NULL,NULL,961121758,dedonc29,07/01/2023 22:29
736,4229178,31499/00880,961121759,dedonc29,07/01/2023 22:30
736,NULL,NULL,961966848,groven85,11/01/2023 10:39
736,N/a,31499/00880,961966896,groven85,11/01/2023 10:39
736,NULL,NULL,962384344,groven85,12/01/2023 16:18
736,4231165,31499/00880,962741264,groven85,13/01/2023 17:28
