DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE200,DSE_1,3685,5/29/2020 10:49,Area/Lab/Lab/Etch
N,PLINE200,RECUP,4971,5/29/2020 10:51,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup
N,PLINE200,MAN_AU_PLATING,5164,6/19/2020 8:55,Area/Lab/Lab/Metalisation
N,PLINE200,200MM_DICER,5183,7/6/2021 7:11,Area/WBA/Assembly/Dicing
N,PLINE200,COMPOSEGAN,6220,3/22/2022 14:23,Area/DDEPI/Deposition/EPI
N,PLINE200,LAM_BEOL,25532,4/23/2022 7:47,Area/ISE/Etch/CombinedEtch
N,PLINE300,HYPERION_1,25761,6/15/2022 7:47,Area/DDALD/Deposition/ALD
N,PLINE200,GAN_V,7497,7/16/2022 12:47,Area/DDEPI/Deposition/EPI
N,PLINE200,HBM650,8286,7/23/2022 7:47,Area/DDEPI/Deposition/EPI
N,PLINE300,KARDEX_SH6,13786,9/21/2022 12:23,Area/ISE/Stocker/Stocker
N,PLINE300,CUPCLEAN_DRYICE,22642,9/21/2022 12:28,Area/Litho/Exposure/Track
N,PLINE300,SAM_OVEN,9510,9/21/2022 18:13,Area/WMCE/Plating/Plating
N,PLINE300,H6300_3,26177,10/15/2022 7:47,Area/ELMIC/Metrology/Inspections
N,PLINE300,E3650,26273,11/15/2022 12:47,Area/Litho/Metrology/Inspections
N,PLINE200,DUMMY200,4772,12/8/2022 12:23,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup
N,PLINE200,UCR_WB,4541,12/8/2022 14:27,Area/WMCE/Clean/Etch
N,PLINE200,AN_WB,23977,12/8/2022 14:48,Area/WMCE/Clean/Clean
N,PLINE300,GS1000_LP2,22436,12/8/2022 16:44,Area/ILIME/Metrology/Inspections
N,PLINE200,MECH_DEBOND,26365,12/13/2022 12:47,Area/WBA/Assembly/Bonding
N,PLINE200,UV_MANUAL,26135,12/30/2022 13:38,Area/WBA/Assembly/Dicing
N,PLINE200,PEEL_TESTER,22663,12/30/2022 13:41,Area/WBA/Metrology/Metrology
N,PLINE200,BOND_TESTER,11126,12/30/2022 13:53,Area/WBA/Assembly/Bonding
N,PLINE200,MATLAB,11266,12/30/2022 13:57,Area/WBA/Metrology/Metrology
N,PLINE200,MOUNTER_MAN2,23525,12/30/2022 14:00,Area/WBA/Assembly/Dicing
N,PLINE200,MOUNTER_MAN,8078,12/30/2022 14:00,Area/WBA/Assembly/Dicing
N,PLINE200,NANO,24485,12/30/2022 14:07,Area/WBA/Assembly/FlipChip
N,PLINE300,FOUPPURGE_2,21347,12/30/2022 17:17,Area/ISE/Stocker/Stocker
N,PLINE300,SEALER_1,7991,12/30/2022 17:25,Area/ISE/Maintenance/Maintenance
N,PLINE200,SEALER_3,7993,12/30/2022 17:26,Area/ISE/Maintenance/Maintenance
N,PLINE300,SEALER_5,17128,12/30/2022 17:31,Area/ISE/Maintenance/Maintenance
N,PLINE300,FOUPPURGE_1,12247,12/30/2022 18:53,Area/ISE/Stocker/Stocker
N,PLINE200,CONTOUR_GTX,25285,12/31/2022 9:51,Area/ILIME/Metrology/Profilometry
N,PLINE200,EASYLOAD,21933,12/31/2022 9:52,Area/ILIME/Metrology/Defectivity
N,PLINE200,HRXRD,5891,12/31/2022 9:59,Area/ILIME/Metrology/XRRD
N,PLINE200,MICROS_DIE,23520,12/31/2022 10:06,Area/ILIME/Metrology/Inspections
N,PLINE300,MICROS_NOVA,5624,12/31/2022 10:07,Area/ILIME/Metrology/Inspections
N,PLINE200,NIKON_L300N,25327,12/31/2022 10:09,Area/ILIME/Metrology/Inspections
N,PLINE200,THICK1,15007,12/31/2022 10:15,Area/ILIME/Metrology/Inspections
N,PLINE300,CHEMDIS,19844,12/31/2022 10:18,Area/WMCE/Clean/Clean
N,PLINE200,CHEMDIS_2,19856,12/31/2022 10:23,Area/WMCE/Clean/Clean
N,PLINE200,TUBECLEANER,4243,12/31/2022 10:52,Area/WMCE/Clean/Etch
N,PLINE200,HTC8020,4547,12/31/2022 11:15,Area/WMCE/CarrierClean/CarrierClean
N,PLINE200,MBE49_IIIV,22644,1/2/2023 6:39,Area/DDEPI/Deposition/EPI
N,PLINE300,XL31_CF,22006,1/2/2023 6:52,Area/ELMIC/Metrology/Inspections
N,PLINE200,HFCVD_DIAMOND,7470,1/2/2023 7:19,Area/DDCVD/Deposition/CVD
N,PLINE300,CUPCLEAN300,6693,1/2/2023 8:46,Area/Litho/Misc
N,PLINE300,EUVRETSTOCKER,22106,1/2/2023 8:46,Area/Litho/Exposure/Scanner
N,PLINE300,SMIFPODOPENER,23993,1/2/2023 8:47,Area/Litho/Exposure/Scanner
N,PLINE200,CUPCLEAN200,6692,1/2/2023 9:57,Area/Litho/Misc/Misc
N,PLINE200,VACUUM_OVEN,5174,1/2/2023 9:58,Area/Litho/Misc/Misc
N,PLINE300,SAM_HISA304,25143,1/2/2023 13:12,Area/ILIME/Metrology/Defectivity
N,PLINE300,GT2000,26118,1/2/2023 13:13,Area/ILIME/Metrology/Inspections
N,PLINE300,PECS682,9626,1/3/2023 0:59,Area/ELMIC/Metrology/Inspections
N,PLINE200,APREO,22007,1/6/2023 7:55,Area/ELMIC/Metrology/Inspections
N,PLINE200,CRESSINGTON200,11387,1/6/2023 7:56,Area/ELMIC/Metrology/Inspections
