,FACILITY,Tool,EVENT_ROW_ID,Datim,State,State_SC,State_TR
0,PLINE300,AIXTRON,960138042,2023-01-04 06:39:00,DOWN,,
1,PLINE300,AIXTRON,960536194,2023-01-05 15:58:00,UP,,
2,PLINE300,AIXTRON,961181548,2023-01-08 13:28:00,DOWN,,
3,PLINE300,AIXTRON,961260018,2023-01-09 06:41:00,UP,,
4,PLINE300,AIXTRON,962020646,2023-01-11 13:48:00,DOWN,,
5,PLINE300,AIXTRON,962595598,2023-01-13 09:46:00,UP,,
6,PLINE300,AIXTRON,962790860,2023-01-13 19:44:00,DOWN,,
7,PLINE300,AIXTRON,963326764,2023-01-16 10:45:00,UP,,
8,PLINE300,AIXTRON,964063520,2023-01-18 14:14:00,DOWN,,
9,PLINE300,AIXTRON,965288026,2023-01-22 18:03:00,UP,,
10,PLINE300,AIXTRON,965696596,2023-01-24 07:19:00,DOWN,,
11,PLINE300,AIXTRON,965746720,2023-01-24 10:49:00,UP,,
12,PLINE300,F5_SCD,959585071,2023-01-02 06:35:00,UP,,
13,PLINE300,F5_SCD,959971713,2023-01-03 14:21:00,DOWN,,
14,PLINE300,F5_SCD,959981662,2023-01-03 15:04:00,UP,,
15,PLINE300,SORT1,959700204,2023-01-02 15:23:00,DOWN,,
16,PLINE300,SORT1,959706531,2023-01-02 15:47:00,UP,,
17,PLINE300,SORT1,962108649,2023-01-11 18:12:00,DOWN,,
18,PLINE300,SORT1,962124857,2023-01-11 20:02:00,UP,,
19,PLINE300,SORT2,959709954,2023-01-02 16:09:00,UP,,
20,PLINE300,SORT2,961390620,2023-01-09 15:59:00,DOWN,,
21,PLINE300,SORT2,961405516,2023-01-09 16:49:00,UP,,
22,PLINE300,CENTURA,959615533,2023-01-02 10:02:00,UP,,
23,PLINE300,CENTURA,959664752,2023-01-02 13:19:00,DOWN,,
24,PLINE300,CENTURA,959668104,2023-01-02 13:33:00,UP,,
25,PLINE300,CENTURA,961989576,2023-01-11 11:49:00,DOWN,,
26,PLINE300,CENTURA,962005089,2023-01-11 12:39:00,UP,,
27,PLINE300,CENTURA,965658836,2023-01-24 02:07:00,DOWN,,
28,PLINE300,CENTURA,965670966,2023-01-24 03:31:00,UP,,
29,PLINE300,CENTURA,966011716,2023-01-25 06:36:00,DOWN,,
30,PLINE300,CENTURA,966075004,2023-01-25 11:15:00,UP,,
31,PLINE300,INS3300,959609712,2023-01-02 09:36:00,UP,,
32,PLINE300,INS3300,960712021,2023-01-06 07:40:00,DOWN,,
33,PLINE300,INS3300,960721309,2023-01-06 08:41:00,UP,,
34,PLINE300,INS3300,963142821,2023-01-15 14:54:00,DOWN,,
35,PLINE300,INS3300,963160878,2023-01-15 17:37:00,UP,,
36,PLINE300,INS3300,965751365,2023-01-24 11:02:00,DOWN,,
37,PLINE300,INS3300,965755401,2023-01-24 11:16:00,UP,,
38,PLINE300,LEVITOR4300,959598243,2023-01-02 07:50:00,UP,,
39,PLINE300,LEVITOR4300,961254517,2023-01-09 05:05:00,DOWN,,
40,PLINE300,LEVITOR4300,961258338,2023-01-09 06:24:00,UP,,
41,PLINE300,LEVITOR4300,963224227,2023-01-16 00:07:00,DOWN,,
42,PLINE300,LEVITOR4300,963244576,2023-01-16 05:23:00,UP,,
43,PLINE300,LEVITOR4300,965313538,2023-01-22 21:40:00,DOWN,,
44,PLINE300,LEVITOR4300,965315428,2023-01-22 21:55:00,UP,,
45,PLINE300,LEVITOR4300,965369296,2023-01-23 08:47:00,DOWN,,
46,PLINE300,LEVITOR4300,965509919,2023-01-23 17:23:00,UP,,
47,PLINE300,LEVITOR4300,965712967,2023-01-24 09:14:00,DOWN,,
48,PLINE300,LEVITOR4300,965860090,2023-01-24 17:08:00,UP,,
49,PLINE300,LEVITOR4300,966049133,2023-01-25 09:41:00,DOWN,,
50,PLINE300,LEVITOR4300,966178663,2023-01-25 17:20:00,UP,,
51,PLINE300,POLYGON8300,960214179,2023-01-04 12:20:00,DOWN,,
52,PLINE300,POLYGON8300,960247705,2023-01-04 14:30:00,UP,,
53,PLINE300,POLYGON8300,965970101,2023-01-25 02:16:00,DOWN,,
54,PLINE300,POLYGON8300,966000414,2023-01-25 05:30:00,UP,,
