,Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS,LithoCluster,Scanners.id,TR_Cluster
2,2022-10-31 00:00:00,,private,2022-10-31 06:00:00,,,PLINE300,6.0,fukumu91,,H6300,31199/02019,,,
3,2022-10-31 00:00:00,,RAX,2022-10-31 03:00:00,,,PLINE300,3.0,kim69,,H6300_2,31199/31147,,,
4,2022-10-31 05:56:57,0.0,Insp,2022-10-31 08:00:00,0.6641666666666667,redants,PLINE300,2.0,redants,,SEMVISION,37004/37141,,,
5,2022-10-31 06:00:00,,scrnjdp,2022-10-31 08:00:00,,,PLINE300,2.0,vanderey,PM,EDR7100,31199/31191,,,
6,2022-10-31 06:42:14,0.0,Important lot,2022-10-31 09:30:00,0.9036111111111113,redants,PLINE300,2.5,redants,,INS3300,00999/00505,,,
7,2022-10-31 06:52:55,,,2022-10-31 09:50:58,2.9675,gade18,PLINE300,,,,HELIOS1200_2,39320/36502,,,
8,2022-10-31 07:00:00,,proc dev,2022-10-31 10:00:00,,,PLINE300,3.0,ramane56,,H6300_2,31199/02273,,,
11,2022-10-31 08:00:00,,i,2022-10-31 10:00:00,,,PLINE300,2.0,iraci88,,HELIOS1200,37092/02172,,,
12,2022-10-31 08:00:00,0.0,200kV,2022-10-31 16:38:17,7.0313888888888885,richardo,PLINE300,8.0,richardo,,TITAN,42199/00160,,,
13,2022-10-31 08:18:38,,,2022-10-31 11:52:05,3.5575,goovae19,PLINE300,,,,EXTREME_2,98600/31827,,,
14,2022-10-31 08:30:00,,NXE monitor,2022-10-31 09:30:00,,,PLINE300,1.0,aubert85,,HITACHI5000,31199/31811,,,
15,2022-10-31 08:30:00,,test,2022-10-31 09:00:00,,,PLINE300,0.5,vanroey,,GS1000,31199/00653,,,
17,2022-10-31 09:00:00,,Navas Buhler JDP,2022-11-01 09:00:00,,,PLINE200,24.0,illyas10,LP1;LP2;PM1,BH800,43001/43181,,,
18,2022-10-31 09:00:00,0.0,devinp,2022-10-31 10:00:56,0.9927777777777778,stiersk,PLINE300,1.0,stiersk,,HRP340_2,36003/36503,,,
