FO_ROW_ID,ResTk,ResWBS,EVENT_ROW_ID,USER_ID,DATE_TIME_STAMP
74,4155748,32414/32513,943475937,alcott43,24/10/2022 9:54
74,NULL,NULL,943902421,alcott43,25/10/2022 15:42
79,4155668,30990/32063,942950523,kramac15,21/10/2022 15:54
79,NULL,NULL,942961454,thukka30,21/10/2022 16:30
79,4157252,30990/32063,943831996,jagalu79,25/10/2022 10:55
79,NULL,NULL,943885170,graulus,25/10/2022 15:00
79,4169060,30990/32063,947359459,rahmat49,08/11/2022 14:00
79,NULL,NULL,947382332,rahmat49,08/11/2022 14:57
261,4167087,00999/00505,945384576,redants,31/10/2022 6:42
261,NULL,NULL,945393839,redants,31/10/2022 7:36
262,4158386,30990/32063,943921627,rastog28,25/10/2022 16:45
262,NULL,NULL,943975640,tits69,25/10/2022 19:30
263,N/a,31499/00379,942543412,peissk91,20/10/2022 10:52
263,NULL,NULL,942607651,peissk91,20/10/2022 14:58
263,N/a,31499/00379,944170088,peissk91,26/10/2022 12:20
263,NULL,NULL,944492284,peissk91,27/10/2022 14:03
263,N/a,31499/00379,944496549,peissk91,27/10/2022 14:17
263,NULL,NULL,944880490,1f8psvc,28/10/2022 15:52
264,N/a,39424/01222,946105217,gomezg80,03/11/2022 11:11
264,NULL,NULL,946139070,1f8psvc,03/11/2022 13:01
264,N/a,39424/01222,946164540,gomezg80,03/11/2022 14:34
264,NULL,NULL,946213365,gomezg80,03/11/2022 17:03
264,N/a,39424/01224,946672487,gomezg80,05/11/2022 10:01
264,NULL,NULL,946709877,gomezg80,05/11/2022 14:10
264,N/a,39424/01222,946837820,gomezg80,06/11/2022 8:54
264,NULL,NULL,946846946,gomezg80,06/11/2022 10:17
429,4152397,30990/32063,942559037,zhou49,20/10/2022 12:01
429,NULL,NULL,942644101,jaspers,20/10/2022 16:56
429,4152399,30990/32063,942869800,stokhof,21/10/2022 11:47
429,NULL,NULL,942890226,stokhof,21/10/2022 13:15
429,4166671,30990/32063,944769512,marian80,28/10/2022 10:18
429,NULL,NULL,944786219,marian80,28/10/2022 11:14
429,4157356,30990/32063,944814066,stokhof,28/10/2022 12:17
429,NULL,NULL,944829877,stokhof,28/10/2022 13:29
429,4166980,30990/32063,945455294,hsingy35,31/10/2022 12:20
429,NULL,NULL,945455384,hsingy35,31/10/2022 12:21
