,FACILITY,Tool,WBS,Cluster,Fab300_Begin,IIO_Begin,Fab300_End,IIO_End,Cnt,Fab300_Duration,IIO_Duration,Description,IIO_User_id,Fab300_User_id,Modules,Begin,End
0,PLINE200,300MM_DICER,31012/01506,0,2022-10-18 13:27:44,2022-10-18 13:30:00,2022-10-18 16:47:34,2022-10-18 17:00:00,1,3.3305555555555557,3.5,lots on hold,schoofs,schoofs,,2022-10-18 13:27:44,2022-10-18 17:00:00
2,PLINE200,300MM_DICER,36671/01224,1,2022-10-07 09:33:19,2022-10-07 09:30:00,2022-10-07 14:29:23,2022-10-07 12:00:00,1,4.934444444444445,2.5,DEVINP LOTS,ameghn57,ameghn57,,2022-10-07 09:30:00,2022-10-07 14:29:23
3,PLINE200,300MM_DICER,36671/01224,2,2022-10-09 14:17:25,2022-10-09 12:30:00,2022-10-09 17:57:55,2022-10-09 14:30:00,1,3.675,2.0,DEVINP LOTS,ameghn57,ameghn57,,2022-10-09 12:30:00,2022-10-09 17:57:55
4,PLINE200,300MM_DICER,36671/01224,3,2022-10-12 18:56:58,2022-10-12 19:00:00,2022-10-12 21:59:06,2022-10-12 22:00:00,1,3.0355555555555553,3.0,DEVINP LOTS,ameghn57,ameghn57,,2022-10-12 18:56:58,2022-10-12 22:00:00
5,PLINE200,300MM_DICER,36671/01224,4,2022-10-20 09:57:42,2022-10-20 09:30:00,2022-10-20 14:11:11,2022-10-20 11:30:00,1,4.224722222222222,2.0,TROM subindex lot,ameghn57,ameghn57,,2022-10-20 09:30:00,2022-10-20 14:11:11
6,PLINE200,ACT12_MTM,31012/01649,0,2022-11-03 11:00:04,2022-11-03 11:00:00,2022-11-03 12:40:41,2022-11-03 13:00:00,1,1.6769444444444443,2.0,test,noda11,vanpuym,,2022-11-03 11:00:00,2022-11-03 13:00:00
7,PLINE200,ACT12_MTM,36056/36504,0,2022-10-07 11:35:53,2022-10-07 10:00:00,2022-10-07 12:26:37,2022-10-07 12:00:00,1,0.8455555555555555,2.0,S1828 process on Cytop,vackerl,vanpuym,,2022-10-07 10:00:00,2022-10-07 12:26:37
8,PLINE200,AMAT_CVD,39424/01221,0,2022-10-25 15:23:00,2022-10-25 15:00:00,2022-10-25 19:21:43,2022-10-25 18:00:00,1,3.9786111111111113,3.0,Side generator offset callibrati,vdveld25,vdveld25,LP1;CHB,2022-10-25 15:00:00,2022-10-25 19:21:43
9,PLINE200,AMAT_CVD,98300/98084,0,2022-10-24 17:18:27,2022-10-24 17:00:00,2022-10-24 19:10:09,2022-10-24 19:00:00,1,1.8616666666666666,2.0,Transfer CHA ~ He leakrate error,leyssens,leyssens,LP1;CHA,2022-10-24 17:00:00,2022-10-24 19:10:09
10,PLINE200,AP300,31199/31811,0,2022-10-05 10:39:40,2022-10-05 10:30:00,2022-10-05 11:13:20,2022-10-05 12:00:00,1,0.5611111111111111,1.5,XP FEM,uruena10,uruena10,,2022-10-05 10:30:00,2022-10-05 12:00:00
11,PLINE200,AP300,32005/01717,0,2022-10-11 10:01:18,2022-10-11 10:00:00,2022-10-11 12:55:10,2022-10-11 12:00:00,1,2.897777777777778,2.0,Flood exposure,uruena10,uruena10,,2022-10-11 10:00:00,2022-10-11 12:55:10
