,FACILITY,Tool,WBS,Cluster,Description,Begin,End,IIO_User_id,Fab300_User_id,Modules,Fab300_Duration,IIO_Duration,TR_Cluster,id
0,PLINE200,300MM_DICER,32299/02016,0.0,Prio lot,2023-01-16 08:25:00,2023-01-16 17:00:00,schoofs,schoofs,,8.566666666666666,7.5,,0
1,PLINE200,300MM_DICER,32299/02016,1.0,For Alginment issue lot process,2023-01-19 09:30:00,2023-01-19 16:48:00,hiro13,hiro13,,7.266666666666667,6.5,,1
2,PLINE200,300MM_DICER,36671/01224,0.0,W2W bonding ET overlay backup,2023-01-13 09:30:00,2023-01-13 13:27:00,ameghn57,ameghn57,,2.8333333333333335,3.0,,2
3,PLINE200,ACT12_MTM,37004/37141,0.0,DFR,2023-01-12 09:00:00,2023-01-12 13:30:00,eswara57,cooman32,,1.5166666666666666,4.5,,3
4,PLINE200,ACT12_MTM,37004/37141,1.0,DFR,2023-01-20 09:00:00,2023-01-20 13:49:00,eswara57,haever53,,3.816666666666667,4.0,,4
5,PLINE200,ACT12_MTM,37004/37141,2.0,DFR,2023-01-25 15:28:00,2023-01-25 20:46:00,eswara57,cooman32,,5.3,4.5,,5
6,PLINE200,ACT12_MTM,37037/01949,0.0,DFR,2023-01-11 10:55:00,2023-01-11 13:14:00,eswara57,cooman32,,2.316666666666667,1.5,,6
7,PLINE200,AMAT_MEK,98300/01969,0.0,SION screening,2023-01-19 18:30:00,2023-01-19 20:14:00,leyssens,leyssens,CHD;LP2,1.4833333333333334,1.5,,7
8,PLINE200,AP300,32299/00013,1.0,TOK FEM,2023-01-20 14:00:00,2023-01-20 15:30:00,uruena10,uruena10,,0.7333333333333333,1.5,,8
9,PLINE200,AP300,37004/37141,0.0,DFR,2023-01-25 15:00:00,2023-01-25 20:46:00,eswara57,cooman32,,5.683333333333334,2.5,,9
10,PLINE200,AP300,37037/01949,0.0,DFR,2023-01-11 10:30:00,2023-01-11 12:37:00,eswara57,cooman32,,1.7,1.5,,10
11,PLINE200,ASM1100,44999/49500,0.0,P230047,2023-01-23 07:00:00,2023-01-23 11:50:00,moelants,moelants,,3.933333333333333,2.0,,11
12,PLINE200,ASM1100,97401/01775,0.0,P230044,2023-01-13 16:00:00,2023-01-13 19:51:00,moelants,moelants,,2.933333333333333,2.0,,12
