,FACILITY,Tool,WBS,Cluster,Description,Begin,End,IIO_User_id,Fab300_User_id,Modules,Fab300_Duration,IIO_Duration
0,PLINE200,300MM_DICER,32299/02016,0.0,Prio lot,2023-01-16 08:25:00,2023-01-16 17:00:00,schoofs,schoofs,,8.566666666666666,7.5
1,PLINE200,300MM_DICER,32299/02016,1.0,For Alginment issue lot process,2023-01-19 09:30:00,2023-01-19 16:48:00,hiro13,hiro13,,7.266666666666667,6.5
2,PLINE200,300MM_DICER,36671/01224,0.0,W2W bonding ET overlay backup,2023-01-13 09:30:00,2023-01-13 13:27:00,ameghn57,ameghn57,,2.8333333333333335,3.0
3,PLINE200,ACT12_MTM,37004/37141,0.0,DFR,2023-01-12 09:00:00,2023-01-12 13:30:00,eswara57,cooman32,,1.5166666666666666,4.5
4,PLINE200,ACT12_MTM,37004/37141,1.0,DFR,2023-01-20 09:00:00,2023-01-20 13:49:00,eswara57,haever53,,3.816666666666667,4.0
5,PLINE200,ACT12_MTM,37004/37141,2.0,DFR,2023-01-25 15:28:00,2023-01-25 20:46:00,eswara57,cooman32,,5.3,4.5
6,PLINE200,ACT12_MTM,37037/01949,0.0,DFR,2023-01-11 10:55:00,2023-01-11 13:14:00,eswara57,cooman32,,2.316666666666667,1.5
7,PLINE200,AMAT_MEK,98300/01969,0.0,SION screening,2023-01-19 18:30:00,2023-01-19 20:14:00,leyssens,leyssens,CHD;LP2,1.4833333333333334,1.5
9,PLINE200,AP300,32299/00013,1.0,TOK FEM,2023-01-20 14:00:00,2023-01-20 15:30:00,uruena10,uruena10,,0.7333333333333333,1.5
10,PLINE200,AP300,37004/37141,0.0,DFR,2023-01-25 15:00:00,2023-01-25 20:46:00,eswara57,cooman32,,5.683333333333334,2.5
11,PLINE200,AP300,37037/01949,0.0,DFR,2023-01-11 10:30:00,2023-01-11 12:37:00,eswara57,cooman32,,1.7,1.5
12,PLINE200,ASM1100,44999/49500,0.0,P230047,2023-01-23 07:00:00,2023-01-23 11:50:00,moelants,moelants,,3.933333333333333,2.0
13,PLINE200,ASM1100,97401/01775,0.0,P230044,2023-01-13 16:00:00,2023-01-13 19:51:00,moelants,moelants,,2.933333333333333,2.0
14,PLINE200,BLUE_M_BCB,32299/00013,0.0,cure wpr,2023-01-11 09:00:00,2023-01-11 14:22:00,jslabbe,jslabbe,,5.35,5.0
15,PLINE200,BONDER_200,36671/01224,0.0,lot,2023-01-18 19:30:00,2023-01-18 21:39:00,han41,han41,,1.7666666666666666,2.0
16,PLINE200,BONDER_200,44042/49500,0.0,TOK bonding,2023-01-25 13:52:00,2023-01-25 17:30:00,thomas82,thomas82,,2.9,3.5
17,PLINE200,BONDER_200,97401/02110,0.0,Direct bonding in Lvl5 6' chuck,2023-01-11 12:42:00,2023-01-11 17:30:00,segers56,segers56,,3.0833333333333335,4.0
18,PLINE200,CAMTEK,36003/36504,0.0,Test waferlevelimage,2023-01-20 11:00:00,2023-01-20 14:30:00,reniersd,reniersd,,2.566666666666667,3.5
19,PLINE200,CAMTEK,98000/14072,0.0,Recipe creation,2023-01-13 13:30:00,2023-01-13 17:41:00,moet12,vandrom,,3.45,2.5
20,PLINE200,CIPT,31499/02180,0.0,CIPT LED Zeppelin,2023-01-13 09:33:00,2023-01-13 12:57:00,talmel16,talmel16,,3.4,2.0
21,PLINE200,CS4800,37037/02055,0.0,P222038/11,2023-01-16 07:00:00,2023-01-16 08:30:00,moelants,moelants,,1.1666666666666667,1.5
22,PLINE200,CS4800,97401/01775,0.0,P230044,2023-01-13 19:00:00,2023-01-13 21:27:00,moelants,moelants,,1.6,2.0
23,PLINE200,DEBOND_CLEANER,98300/01618,0.0,EBR clean BB510,2023-01-04 16:00:00,2023-01-04 21:30:00,lefevr14,lefevr14,,3.7,3.5
24,PLINE200,DOM_BEOL_CU,44999/01997,0.0,Ru etch,2023-01-12 09:00:00,2023-01-12 19:00:00,locoroto,locoroto,LP1;PM1,2.25,10.0
25,PLINE200,DOM_BEOL_CU,44999/01997,1.0,Ru contam test,2023-01-19 09:00:00,2023-01-19 19:00:00,locoroto,locoroto,LP2;PM1,2.9,10.0
26,PLINE200,ELECTRA_CU,39422/01224,0.0,PR22.0284,2023-01-13 06:58:00,2023-01-13 11:30:00,bangel19,bangel19,CH3;CH4;LP1;LP2,3.5166666666666666,4.5
27,PLINE200,ELECTRA_CU,39422/01224,1.0,PR22.0284,2023-01-14 07:00:00,2023-01-14 10:00:00,bangel19,bangel19,LP1;LP2,2.65,1.5
28,PLINE200,ELECTRA_CU,39422/01224,2.0,PR22.0284 handling tests,2023-01-23 07:00:00,2023-01-23 11:00:00,bangel19,bangel19,LP1;LP2,3.9,4.0
29,PLINE200,ENDURA1,39422/01221,0.0,CHD SPC stability investigation,2023-01-21 07:58:00,2023-01-21 09:00:00,meulem85,meulem85,CHC;CHD;LP1,0.4166666666666667,1.0
30,PLINE200,ENDURA1,97401/02108,0.0,100nm deposition of AlCu 9kw,2023-01-24 13:30:00,2023-01-24 16:00:00,vlanck26,vlanck26,CH4;LP1,1.75,2.5
31,PLINE200,ENDURA1,97401/02108,1.0,100nm deposition AlCu deposition,2023-01-25 09:00:00,2023-01-25 11:30:00,vlanck26,vlanck26,CH4;LP1,0.75,2.5
32,PLINE200,EV11,31499/00432,0.0,IP measurements,2023-01-09 09:00:00,2023-01-09 15:33:00,jansse23,jansse23,,5.3,6.5
33,PLINE200,EV11,31499/02180,0.0,Tb measurements for LDZ,2023-01-03 15:54:00,2023-01-04 09:28:00,chen66,talmel16,,17.566666666666666,17.0
34,PLINE200,EV11,31499/02180,1.0,Tb PtMn,2023-01-09 16:47:00,2023-01-10 09:14:00,chen66,talmel16,,16.45,16.0
35,PLINE200,EV11,31499/02180,2.0,Tb PtMn,2023-01-10 17:00:00,2023-01-11 09:14:00,chen66,talmel16,,15.716666666666667,16.0
36,PLINE200,EXPERT1,98601/01944,0.0,ilime 20221205-143043-zaid49,2023-01-18 14:00:00,2023-01-18 21:22:00,tielens,tielens,,5.183333333333334,5.0
37,PLINE200,FUSIONBONDER,36671/01224,0.0,training,2023-01-10 09:20:00,2023-01-10 13:33:00,han41,han41,,4.216666666666667,2.5
38,PLINE200,GRINDER,32099/01084,0.0,3_C730_DualT1107_CG,2023-01-13 07:00:00,2023-01-13 10:28:00,cuypers,cuypers,,3.45,2.5
39,PLINE200,GRINDER,36671/01224,0.0,lot,2023-01-13 14:17:00,2023-01-13 17:08:00,han41,han41,,2.85,2.0
40,PLINE200,HRP220_CU,44999/01817,0.0,i,2023-01-08 07:51:00,2023-01-08 09:12:00,redants,redants,,1.35,1.0
41,PLINE200,ISIS,32099/01084,0.0,3_C730_T1107_30_PRE and POST,2023-01-13 07:00:00,2023-01-13 11:06:00,cuypers,cuypers,,4.083333333333333,2.5
42,PLINE200,ISIS,36003/01224,0.0,training,2023-01-22 14:30:00,2023-01-22 18:00:00,nong52,nong52,,1.7166666666666666,3.5
43,PLINE200,KLA2351,32299/31838,0.0,DEVINPs,2023-01-19 16:00:00,2023-01-19 19:30:00,janard53,janard53,,2.6166666666666667,3.5
44,PLINE200,KLA2351,37004/01945,0.0,DEVINPs,2023-01-09 11:30:00,2023-01-09 13:30:00,janard53,janard53,,1.3,2.0
45,PLINE200,KLA2351,37004/01945,1.0,devinp,2023-01-13 07:30:00,2023-01-13 10:00:00,janard53,janard53,,1.2,2.5
46,PLINE200,KLA2351,37004/01945,2.0,Recipe creation,2023-01-24 10:00:00,2023-01-24 18:10:00,moet12,cooman32,,4.15,6.0
47,PLINE200,LAMINATOR_2,98300/14175,0.0,New DFR material - RFPD,2023-01-18 16:00:00,2023-01-18 21:18:00,lefevr14,lefevr14,,4.866666666666666,5.0
48,PLINE200,MIRRA_3,36026/01224,0.0,BROMO Project: TSV Plating CMP,2023-01-16 08:54:00,2023-01-16 10:53:00,kyaw73,kyaw73,LP1;LP2;PLATEN1;PLATEN2;PLATEN3,1.9833333333333334,1.5
49,PLINE200,MOUNTER_LH,36671/01224,0.0,W2W BONDING CIRCL BACK UP,2023-01-13 09:00:00,2023-01-13 11:55:00,ameghn57,ameghn57,,2.683333333333333,2.0
50,PLINE200,NOVA200,30990/02250,0.0,x-section sem,2023-01-06 09:00:00,2023-01-06 12:43:00,stokhof,stokhof,,2.433333333333333,2.0
51,PLINE200,NOVA200,32005/01299,0.0,Training Qi Wu,2023-01-23 12:30:00,2023-01-23 14:00:00,ripj,ripj,,1.1833333333333333,1.5
52,PLINE200,NOVA200,32008/00034,0.0,sem,2023-01-19 08:00:00,2023-01-19 10:30:00,lux,lux,,2.3,2.0
53,PLINE200,NOVA200,32299/00013,0.0,sem,2023-01-18 13:26:00,2023-01-18 15:31:00,cochet,cochet,,2.0833333333333335,2.0
54,PLINE200,NOVA200,43001/01668,0.0,EDX,2023-01-11 08:30:00,2023-01-11 11:00:00,verbeeck,verbeeck,,1.6333333333333333,2.5
55,PLINE200,NOVA200,97406/01185,0.0,Ag Nanomesh;dev,2023-01-10 15:30:00,2023-01-10 19:05:00,hendri21;planke49,planke49,,1.95,3.0
56,PLINE200,NOVA200,97406/01185,1.0,training,2023-01-17 15:30:00,2023-01-17 17:04:00,hendri21,hendri21,,0.3833333333333333,1.5
57,PLINE200,NOVA200,97406/01185,4.0,dev,2023-01-18 09:27:00,2023-01-18 11:11:00,hendri21,hendri21,,1.7333333333333334,1.5
58,PLINE200,NOVA200,97406/01185,5.0,Ag Nanomesh,2023-01-23 17:00:00,2023-01-23 18:30:00,planke49,planke49,,0.9666666666666667,1.5
59,PLINE200,P3_NITRIDE,97401/02108,0.0,100nm deposition on SI blanket,2023-01-24 08:52:00,2023-01-24 12:30:00,vlanck26,vlanck26,NITR;WIP,3.3666666666666667,3.5
61,PLINE200,SAM_AW300,31012/01506,0.0,AL214704/2,2023-01-17 13:30:00,2023-01-17 17:34:00,chen70,chen70,,3.1666666666666665,2.5
62,PLINE200,SAM_AW300,36671/01224,0.0,AE224542,2023-01-16 09:22:00,2023-01-16 10:30:00,chen70,chen70,,1.0,1.0
63,PLINE200,SP1_DLS,30990/02249,0.0,measurement,2023-01-16 09:30:00,2023-01-16 10:00:00,tricas85,stokhof,,0.35,0.5
