EVENT_ROW_ID,Datim,State_SC,ToolName,State_TR,State,FACILITY,LithoCluster
929368350,9/1/2022 0:59,DOWN_TEST,SC1000,DOWN,DOWN,PLINE300,1000
929374353,9/1/2022 1:55,DOWN_TEST,TR1000,PARTLY_UP,DOWN,PLINE300,1000
929388488,9/1/2022 3:20,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
929430205,9/1/2022 8:20,PARTLY_UP,TR1000,RESERVED,DOWN,PLINE300,1000
929430227,9/1/2022 8:20,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
929442508,9/1/2022 9:29,IDLE_ERROR,SC1000,RESERVED,DOWN,PLINE300,1000
929466559,9/1/2022 10:34,PARTLY_UP,SC1000,RESERVED,DOWN,PLINE300,1000
929466993,9/1/2022 10:36,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
929520400,9/1/2022 14:11,PARTLY_UP,TR1000,UP,DOWN,PLINE300,1000
929728087,9/2/2022 8:02,RESERVED,SC1000,UP,DOWN,PLINE300,1000
929728137,9/2/2022 8:02,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
929756667,9/2/2022 9:59,PARTLY_UP,SC1000,RESERVED,DOWN,PLINE300,1000
929757098,9/2/2022 10:00,PARTLY_UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
929894738,9/2/2022 17:21,RESERVED,SC1000,DOWN_TEST,DOWN,PLINE300,1000
929939531,9/2/2022 18:44,PARTLY_UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
929942099,9/2/2022 18:50,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
929997632,9/3/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930027212,9/3/2022 3:35,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930158899,9/3/2022 19:22,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930175896,9/3/2022 22:06,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930227811,9/4/2022 8:01,PARTLY_UP,TR1000,RESERVED,DOWN,PLINE300,1000
930242265,9/4/2022 9:49,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
930670156,9/6/2022 8:20,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930670168,9/6/2022 8:20,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
930684424,9/6/2022 9:39,PARTLY_UP,SC1000,RESERVED,DOWN,PLINE300,1000
930684538,9/6/2022 9:40,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
930889949,9/6/2022 22:05,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930927628,9/7/2022 2:22,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
930981486,9/7/2022 8:59,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
931000529,9/7/2022 10:04,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
931004610,9/7/2022 10:20,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
931083791,9/7/2022 15:00,RESERVED,TR1000,DOWN_TEST,DOWN,PLINE300,1000
931107858,9/7/2022 16:26,UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
931185136,9/7/2022 22:06,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
931267797,9/8/2022 8:18,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
931267937,9/8/2022 8:19,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
931287648,9/8/2022 9:53,UP,SC1000,RESERVED,DOWN,PLINE300,1000
931287654,9/8/2022 9:53,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
931513794,9/8/2022 23:22,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
931530267,9/9/2022 1:50,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
931580426,9/9/2022 8:05,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
931592361,9/9/2022 9:28,UP,TR1000,UP,UP,PLINE300,1000
931864338,9/10/2022 5:04,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
931868226,9/10/2022 5:31,UP,SC1000,UP,UP,PLINE300,1000
931954366,9/10/2022 14:06,RESERVED,SC1000,UP,DOWN,PLINE300,1000
931980246,9/10/2022 16:57,UP,SC1000,UP,UP,PLINE300,1000
932479709,9/13/2022 0:00,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
932506234,9/13/2022 3:15,UP,SC1000,UP,UP,PLINE300,1000
932554915,9/13/2022 8:16,RESERVED,SC1000,UP,DOWN,PLINE300,1000
932554979,9/13/2022 8:16,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
932567407,9/13/2022 9:28,UP,SC1000,RESERVED,DOWN,PLINE300,1000
932567418,9/13/2022 9:28,UP,TR1000,UP,UP,PLINE300,1000
932572711,9/13/2022 9:55,RESERVED,SC1000,UP,DOWN,PLINE300,1000
932572726,9/13/2022 9:55,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
932605666,9/13/2022 12:09,RESERVED,TR1000,UP,DOWN,PLINE300,1000
932605702,9/13/2022 12:10,UP,SC1000,UP,UP,PLINE300,1000
932781794,9/13/2022 23:25,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
932788573,9/14/2022 0:08,UP,SC1000,UP,UP,PLINE300,1000
932860127,9/14/2022 8:09,RESERVED,SC1000,UP,DOWN,PLINE300,1000
932860132,9/14/2022 8:09,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
932919358,9/14/2022 12:06,UP,SC1000,RESERVED,DOWN,PLINE300,1000
932919553,9/14/2022 12:07,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
932931769,9/14/2022 13:00,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
932936093,9/14/2022 13:25,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
932946976,9/14/2022 14:01,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
932958261,9/14/2022 14:53,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933016076,9/14/2022 17:55,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933031156,9/14/2022 19:36,DOWN_TEST,TR1000,DOWN_TEST,DOWN,PLINE300,1000
933042561,9/14/2022 21:17,PARTLY_UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
933042623,9/14/2022 21:18,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
933135669,9/15/2022 8:03,PARTLY_UP,TR1000,RESERVED,DOWN,PLINE300,1000
933135674,9/15/2022 8:03,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
933153219,9/15/2022 10:01,UP,SC1000,RESERVED,DOWN,PLINE300,1000
933153226,9/15/2022 10:01,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
933333673,9/15/2022 22:52,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933350035,9/16/2022 0:06,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933654102,9/17/2022 1:22,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933658111,9/17/2022 1:57,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933704723,9/17/2022 8:09,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933715093,9/17/2022 9:51,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933802335,9/17/2022 19:14,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933830713,9/17/2022 23:27,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
933830726,9/17/2022 23:27,UP,TR1000,UP,UP,PLINE300,1000
933955907,9/18/2022 19:10,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
933975899,9/18/2022 22:19,UP,SC1000,UP,UP,PLINE300,1000
934134638,9/19/2022 15:12,UP,TR1000,RESERVED,DOWN,PLINE300,1000
934134851,9/19/2022 15:12,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
934140215,9/19/2022 15:26,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
934160760,9/19/2022 16:44,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
934171069,9/19/2022 17:20,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
934171168,9/19/2022 17:21,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
934315521,9/20/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
934317534,9/20/2022 0:16,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
934325430,9/20/2022 1:31,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
934375202,9/20/2022 8:22,UP,TR1000,RESERVED,DOWN,PLINE300,1000
934375355,9/20/2022 8:22,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
934426544,9/20/2022 11:48,UP,SC1000,RESERVED,DOWN,PLINE300,1000
934429138,9/20/2022 11:56,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
934520831,9/20/2022 17:43,UP,TR1000,RESERVED,DOWN,PLINE300,1000
934520887,9/20/2022 17:43,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
934554982,9/20/2022 19:00,UP,SC1000,RESERVED,DOWN,PLINE300,1000
934554999,9/20/2022 19:00,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
934572761,9/20/2022 20:39,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
934594287,9/20/2022 22:31,UP,TR1000,UP,UP,PLINE300,1000
934607555,9/21/2022 0:00,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
934609278,9/21/2022 0:18,PARTLY_UP,SC1000,UP,DOWN,PLINE300,1000
934671153,9/21/2022 8:06,RESERVED,SC1000,UP,DOWN,PLINE300,1000
934671163,9/21/2022 8:06,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
934715269,9/21/2022 11:29,IDLE_ERROR,SC1000,RESERVED,DOWN,PLINE300,1000
934715396,9/21/2022 11:29,IDLE_ERROR,TR1000,IDLE_ERROR,DOWN,PLINE300,1000
934724717,9/21/2022 12:26,PARTLY_UP,SC1000,IDLE_ERROR,DOWN,PLINE300,1000
934727358,9/21/2022 12:39,PARTLY_UP,TR1000,UP,DOWN,PLINE300,1000
934882496,9/21/2022 21:57,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
934914180,9/22/2022 1:32,UP,SC1000,UP,UP,PLINE300,1000
935280794,9/23/2022 8:10,RESERVED,SC1000,UP,DOWN,PLINE300,1000
