,Facility,Tool,Datim,State,State_SC,State_TR,id,Duration,BeginEndFlag
76,PLINE300,AIXTRON,2023-01-13 09:57:00,UP,,,76.0,10.05,Begin
6,PLINE300,AIXTRON,2023-01-13 19:44:00,DOWN,,,76.0,10.05,Begin
80,PLINE300,AIXTRON,2023-01-16 10:00:00,DOWN,,,80.0,8.0,Begin
7,PLINE300,AIXTRON,2023-01-16 10:45:00,UP,,,80.0,8.0,Begin
81,PLINE300,AIXTRON,2023-01-17 09:47:00,UP,,,81.0,8.583333333333334,Begin
653,PLINE300,AIXTRON,2023-01-17 15:00:00,UP,,,653.0,4.0,Begin
654,PLINE300,AIXTRON,2023-01-19 10:00:00,DOWN,,,654.0,7.0,Begin
655,PLINE300,AIXTRON,2023-01-20 09:00:00,DOWN,,,655.0,11.0,Begin
77,PLINE300,AIXTRON,2023-01-23 15:24:00,UP,,,77.0,7.6,Begin
78,PLINE300,AIXTRON,2023-01-24 14:00:00,UP,,,78.0,17.416666666666668,Begin
79,PLINE300,AIXTRON,2023-01-25 13:48:00,UP,,,79.0,8.2,Begin
895,PLINE300,F5_SCD,2023-01-05 14:00:00,UP,,,895.0,1.0,Begin
896,PLINE300,F5_SCD,2023-01-09 10:00:00,UP,,,896.0,1.0,Begin
897,PLINE300,F5_SCD,2023-01-10 10:00:00,UP,,,897.0,1.0,Begin
894,PLINE300,F5_SCD,2023-01-10 12:00:00,UP,,,894.0,1.0,Begin
898,PLINE300,F5_SCD,2023-01-11 12:00:00,UP,,,898.0,1.0,Begin
891,PLINE300,F5_SCD,2023-01-12 08:00:00,UP,,,891.0,1.0,Begin
892,PLINE300,F5_SCD,2023-01-12 10:00:00,UP,,,892.0,1.0,Begin
893,PLINE300,F5_SCD,2023-01-17 18:00:00,UP,,,893.0,0.5,Begin
145,PLINE300,F5_SCD,2023-01-19 10:00:00,UP,,,145.0,1.2333333333333334,Begin
144,PLINE300,F5_SCD,2023-01-20 15:58:00,UP,,,144.0,1.0333333333333334,Begin
1436,PLINE300,INS3300,2023-01-17 12:00:00,UP,,,1436.0,2.0,Begin
1573,PLINE300,LEVITOR4300,2023-01-19 12:00:00,UP,,,1573.0,1.0,Begin
1572,PLINE300,LEVITOR4300,2023-01-19 14:00:00,UP,,,1572.0,2.0,Begin
245,PLINE300,LEVITOR4300,2023-01-22 06:17:00,UP,,,245.0,5.716666666666667,Begin
290,PLINE300,POLYGON8300,2023-01-12 09:00:00,UP,,,290.0,13.3,Begin
326,PLINE300,SCD100,2023-01-10 12:00:00,UP,,,326.0,1.7,Begin
319,PLINE300,SCD100,2023-01-10 14:00:00,UP,,,319.0,1.0,Begin
1662,PLINE300,SCD100,2023-01-10 18:00:00,UP,,,1662.0,1.0,Begin
1664,PLINE300,SCD100,2023-01-11 08:30:00,UP,,,1664.0,0.5,Begin
320,PLINE300,SCD100,2023-01-11 10:00:00,UP,,,320.0,1.4666666666666666,Begin
1665,PLINE300,SCD100,2023-01-12 08:30:00,UP,,,1665.0,0.5,Begin
328,PLINE300,SCD100,2023-01-13 07:55:00,UP,,,328.0,1.0833333333333333,Begin
321,PLINE300,SCD100,2023-01-13 10:00:00,UP,,,321.0,1.0666666666666667,Begin
1663,PLINE300,SCD100,2023-01-13 12:00:00,UP,,,1663.0,1.0,Begin
1657,PLINE300,SCD100,2023-01-16 10:00:00,UP,,,1657.0,1.0,Begin
1671,PLINE300,SCD100,2023-01-16 12:00:00,UP,,,1671.0,1.0,Begin
324,PLINE300,SCD100,2023-01-16 13:56:00,UP,,,324.0,1.0666666666666667,Begin
1658,PLINE300,SCD100,2023-01-16 16:00:00,UP,,,1658.0,1.0,Begin
329,PLINE300,SCD100,2023-01-17 08:00:00,UP,,,329.0,0.5,Begin
322,PLINE300,SCD100,2023-01-17 10:00:00,UP,,,322.0,1.0,Begin
327,PLINE300,SCD100,2023-01-17 12:00:00,UP,,,327.0,1.0,Begin
1659,PLINE300,SCD100,2023-01-17 14:00:00,UP,,,1659.0,1.0,Begin
325,PLINE300,SCD100,2023-01-17 15:57:00,UP,,,325.0,1.05,Begin
323,PLINE300,SCD100,2023-01-18 09:46:00,UP,,,323.0,1.2333333333333334,Begin
1660,PLINE300,SCD100,2023-01-18 12:00:00,UP,,,1660.0,1.0,Begin
330,PLINE300,SCD100,2023-01-19 07:50:00,UP,,,330.0,1.1666666666666667,Begin
317,PLINE300,SCD100,2023-01-19 11:58:00,UP,,,317.0,1.0666666666666667,Begin
1666,PLINE300,SCD100,2023-01-20 08:30:00,UP,,,1666.0,0.5,Begin
1667,PLINE300,SCD100,2023-01-22 08:30:00,UP,,,1667.0,0.5,Begin
1668,PLINE300,SCD100,2023-01-24 08:30:00,UP,,,1668.0,0.5,Begin
318,PLINE300,SCD100,2023-01-24 09:58:00,UP,,,318.0,1.0666666666666667,Begin
1654,PLINE300,SCD100,2023-01-24 14:00:00,UP,,,1654.0,1.0,Begin
1669,PLINE300,SCD100,2023-01-25 08:30:00,UP,,,1669.0,0.5,Begin
1655,PLINE300,SCD100,2023-01-25 12:00:00,UP,,,1655.0,1.0,Begin
1656,PLINE300,SCD100,2023-01-25 14:00:00,UP,,,1656.0,1.0,Begin
1670,PLINE300,SCD100,2023-01-26 08:30:00,UP,,,1670.0,0.5,Begin
1661,PLINE300,SCD100,2023-01-26 10:00:00,UP,,,1661.0,1.0,Begin
1988,PLINE300,SEZ304,2023-01-16 14:42:00,UP,,,1988.0,0.5666666666666667,Begin
1989,PLINE300,ENDURA,2023-01-21 07:59:00,UP,,,1989.0,3.55,Begin
130,PLINE300,EPSILON3200,2023-01-11 10:30:00,DOWN,,,130.0,29.8,Begin
102,PLINE300,EPSILON3200,2023-01-11 10:38:00,UP,,,130.0,29.8,Begin
868,PLINE300,EPSILON3200,2023-01-20 09:00:00,UP,,,868.0,8.0,Begin
1424,PLINE300,HRP340,2023-01-12 10:00:00,DOWN,,,1424.0,4.0,Begin
118,PLINE300,HRP340,2023-01-12 12:37:00,UP,,,1424.0,4.0,Begin
1645,PLINE300,REFLEXION,2023-01-05 14:00:00,DOWN,,,1645.0,8.0,Begin
1646,PLINE300,REFLEXION,2023-01-06 14:00:00,DOWN,,,1646.0,8.0,Begin
300,PLINE300,REFLEXION,2023-01-08 21:49:00,DOWN,,,300.0,8.183333333333334,Begin
126,PLINE300,REFLEXION,2023-01-08 21:49:00,UP,,,300.0,8.183333333333334,Begin
1990,PLINE300,REFLEXION,2023-01-12 06:32:00,UP,,,1990.0,1.3833333333333333,Begin
291,PLINE300,PRODUCER_2,2023-01-03 10:00:00,UP,,,291.0,1.5,Begin
292,PLINE300,PRODUCER_2,2023-01-09 17:00:00,UP,,,292.0,4.0,Begin
293,PLINE300,PRODUCER_2,2023-01-15 07:30:00,UP,,,293.0,4.05,Begin
1991,PLINE300,ENDURA_2,2023-01-13 08:18:00,UP,,,1991.0,2.0833333333333335,Begin
1992,PLINE300,ENDURA_2,2023-01-19 07:27:00,UP,,,1992.0,6.483333333333333,Begin
1993,PLINE300,ENDURA_2,2023-01-20 07:39:00,UP,,,1993.0,3.066666666666667,Begin
1648,PLINE300,REFLEXION_2,2023-01-05 14:00:00,DOWN,,,1648.0,8.0,Begin
151,PLINE300,REFLEXION_2,2023-01-05 14:57:00,UP,,,1648.0,8.0,Begin
1649,PLINE300,REFLEXION_2,2023-01-06 14:00:00,UP,,,1649.0,8.0,Begin
305,PLINE300,REFLEXION_2,2023-01-09 09:00:00,UP,,,305.0,8.0,Begin
301,PLINE300,REFLEXION_2,2023-01-11 06:00:00,UP,,,301.0,8.0,Begin
158,PLINE300,REFLEXION_2,2023-01-11 12:48:00,DOWN,,,301.0,8.0,Begin
302,PLINE300,REFLEXION_2,2023-01-12 06:00:00,UP,,,302.0,8.0,Begin
160,PLINE300,REFLEXION_2,2023-01-12 13:47:00,DOWN,,,302.0,8.0,Begin
306,PLINE300,REFLEXION_2,2023-01-13 10:45:00,UP,,,306.0,5.25,Begin
