,Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS,LithoCluster,ToolName,_merge
0,2022-10-31 00:00:00,,lot processing,2022-10-31 02:00:00,,,PLINE300,2.0,robber85,,SC1000,31199/30079,1000.0,SC1000,both
1,2022-10-31 16:48:50,0.0,JSR,2022-10-31 19:00:00,1.2366666666666666,wouter12,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
2,2022-11-01 00:00:00,,tst,2022-11-01 02:00:00,,,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
3,2022-11-01 10:00:00,1.0,lot processing,2022-11-01 12:01:50,1.7863888888888888,le27,PLINE300,2.0,robber85,,SC1000,31199/30079,1000.0,SC1000,both
4,2022-11-01 14:00:00,,scanner,2022-11-01 14:30:00,,,PLINE300,0.5,dauend87,,SC1000,98600/00962,1000.0,SC1000,both
5,2022-11-02 07:58:10,2.0,tst,2022-11-02 10:00:00,1.946388888888889,lecocq91,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
6,2022-11-03 00:00:00,,JSR,2022-11-03 02:00:00,,,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
7,2022-11-03 08:00:00,3.0,test,2022-11-03 10:00:00,1.751111111111111,maessc90,PLINE300,2.0,dilien72,,SC1000,31199/30079,1000.0,SC1000,both
8,2022-11-04 01:00:00,,test,2022-11-04 02:00:00,,,PLINE300,1.0,vleerb85,,SC1000,31199/30079,1000.0,SC1000,both
9,2022-11-04 08:00:00,4.0,test,2022-11-04 10:00:00,1.675277777777778,lecocq91,PLINE300,2.0,dilien72,,SC1000,31199/30079,1000.0,SC1000,both
10,2022-11-05 08:00:00,,JSR,2022-11-05 10:00:00,,,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
11,2022-11-06 08:00:00,5.0,JSR slot,2022-11-06 10:57:16,2.0283333333333333,le27,PLINE300,2.0,robber85,,SC1000,31199/30079,1000.0,SC1000,both
12,2022-11-06 13:00:00,,JSR slot,2022-11-06 15:00:00,,,PLINE300,2.0,robber85,,SC1000,31199/30079,1000.0,SC1000,both
13,2022-11-07 08:00:00,,test,2022-11-07 10:00:00,,,PLINE300,2.0,cloost23,,SC1000,31199/30079,1000.0,SC1000,both
14,2022-11-08 00:00:00,,JSR;test,2022-11-08 02:00:00,,,PLINE300,2.0,perrem78;vleerb85,,SC1000,31199/30079,1000.0,SC1000,both
15,2022-11-08 07:30:00,0.0,meting,2022-11-08 09:00:00,0.2783333333333333,jacobs41,PLINE300,1.5,jacobs41,,SC1000,31199/01513,1000.0,SC1000,both
16,2022-11-08 14:00:00,,KrF,2022-11-08 14:30:00,,,PLINE300,0.5,kampit73,,SC1000,31199/01680,1000.0,SC1000,both
17,2022-11-09 08:00:00,6.0,test;JSR processing time,2022-11-09 12:00:00,1.663888888888889,maessc90,PLINE300,4.0,cloost23;perrem78,,SC1000,31199/30079,1000.0,SC1000,both
18,2022-11-09 17:00:00,,JSR,2022-11-09 19:00:00,,,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
19,2022-11-10 07:58:56,7.0,test,2022-11-10 10:25:24,2.4411111111111112,maessc90,PLINE300,2.0,cloost23,,SC1000,31199/30079,1000.0,SC1000,both
20,2022-11-10 14:00:00,,Inpria,2022-11-10 16:00:00,,,PLINE300,2.0,deschepp,,SC1000,31199/01706,1000.0,SC1000,both
21,2022-11-10 17:00:00,8.0,JSR,2022-11-10 19:00:00,1.6483333333333334,wouter12,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
22,2022-11-14 08:00:00,9.0,test,2022-11-14 10:00:00,0.915,lecocq91,PLINE300,2.0,cloost23,,SC1000,31199/30079,1000.0,SC1000,both
23,2022-11-15 00:00:00,,test,2022-11-15 02:00:00,,,PLINE300,2.0,vleerb85,,SC1000,31199/30079,1000.0,SC1000,both
24,2022-11-15 07:30:00,,meting,2022-11-15 09:00:00,,,PLINE300,1.5,jacobs41,,SC1000,31199/01513,1000.0,SC1000,both
25,2022-11-15 09:00:00,10.0,JSR,2022-11-15 11:12:27,1.3694444444444445,lecocq91,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
26,2022-11-15 14:00:00,,Inpria,2022-11-15 16:00:00,,,PLINE300,2.0,deschepp,,SC1000,31199/31247,1000.0,SC1000,both
27,2022-11-15 17:00:00,,AL225326/5,2022-11-15 19:30:00,,,PLINE300,2.5,moelants,,SC1000,98850/02081,1000.0,SC1000,both
28,2022-11-16 00:00:00,,JSR,2022-11-16 02:00:00,,,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
29,2022-11-16 08:00:00,11.0,test,2022-11-16 10:00:00,1.0194444444444444,lecocq91,PLINE300,2.0,cloost23,,SC1000,31199/30079,1000.0,SC1000,both
30,2022-11-17 00:00:00,,JSR,2022-11-17 02:00:00,,,PLINE300,2.0,perrem78,,SC1000,31199/30079,1000.0,SC1000,both
31,2022-11-17 08:00:00,12.0,test,2022-11-17 10:00:00,1.7055555555555555,lecocq91,PLINE300,2.0,cloost23,,SC1000,31199/30079,1000.0,SC1000,both
32,2022-11-17 14:00:00,,SAVI test,2022-11-17 16:00:00,,,PLINE300,2.0,dhave,,SC1000,37004/01795,1000.0,SC1000,both
33,2022-11-17 14:49:37,,,2022-11-17 15:43:43,0.9016666666666666,hofman72,PLINE300,,,,SC1000,31199/01706,1000.0,SC1000,both
34,2022-11-18 08:00:00,,test,2022-11-18 10:00:00,,,PLINE300,2.0,cloost23,,SC1000,31199/30079,1000.0,SC1000,both
35,2022-10-31 00:00:00,,lot processing,2022-10-31 02:00:00,,,PLINE300,2.0,robber85,,TR1000,31199/30079,1000.0,TR1000,both
36,2022-10-31 16:49:10,0.0,JSR,2022-10-31 19:00:00,1.2344444444444445,wouter12,PLINE300,2.0,perrem78,,TR1000,31199/30079,1000.0,TR1000,both
37,2022-11-01 00:00:00,,tst,2022-11-01 02:00:00,,,PLINE300,2.0,perrem78,,TR1000,31199/30079,1000.0,TR1000,both
38,2022-11-01 10:00:00,,lot processing,2022-11-01 12:00:00,,,PLINE300,2.0,robber85,,TR1000,31199/30079,1000.0,TR1000,both
39,2022-11-01 14:00:00,,scanner,2022-11-01 14:30:00,,,PLINE300,0.5,dauend87,,TR1000,98600/00962,1000.0,TR1000,both
40,2022-11-02 07:58:06,1.0,tst,2022-11-02 10:00:00,1.95,lecocq91,PLINE300,2.0,perrem78,,TR1000,31199/30079,1000.0,TR1000,both
41,2022-11-03 00:00:00,,JSR,2022-11-03 02:00:00,,,PLINE300,2.0,perrem78,,TR1000,31199/30079,1000.0,TR1000,both
42,2022-11-03 08:00:00,2.0,test,2022-11-03 10:00:00,1.793611111111111,maessc90,PLINE300,2.0,dilien72,,TR1000,31199/30079,1000.0,TR1000,both
43,2022-11-04 01:00:00,,test,2022-11-04 02:00:00,,,PLINE300,1.0,vleerb85,,TR1000,31199/30079,1000.0,TR1000,both
44,2022-11-04 08:00:00,3.0,test,2022-11-04 10:00:00,1.675277777777778,lecocq91,PLINE300,2.0,dilien72,,TR1000,31199/30079,1000.0,TR1000,both
45,2022-11-05 08:00:00,,JSR,2022-11-05 10:00:00,,,PLINE300,2.0,perrem78,,TR1000,31199/30079,1000.0,TR1000,both
46,2022-11-06 08:00:00,,JSR slot,2022-11-06 10:00:00,,,PLINE300,2.0,robber85,,TR1000,31199/30079,1000.0,TR1000,both
47,2022-11-06 13:00:00,4.0,JSR slot,2022-11-06 15:00:00,1.5480555555555555,le27,PLINE300,2.0,robber85,,TR1000,31199/30079,1000.0,TR1000,both
48,2022-11-07 08:00:00,,test,2022-11-07 10:00:00,,,PLINE300,2.0,cloost23,,TR1000,31199/30079,1000.0,TR1000,both
49,2022-11-08 00:00:00,,JSR;test,2022-11-08 02:00:00,,,PLINE300,2.0,perrem78;vleerb85,,TR1000,31199/30079,1000.0,TR1000,both
50,2022-11-08 07:30:00,0.0,meting,2022-11-08 09:00:00,0.2847222222222222,jacobs41,PLINE300,1.5,jacobs41,,TR1000,31199/01513,1000.0,TR1000,both
51,2022-11-08 14:00:00,,KrF,2022-11-08 14:30:00,,,PLINE300,0.5,kampit73,,TR1000,31199/01680,1000.0,TR1000,both
52,2022-11-09 08:00:00,,test;JSR processing time,2022-11-09 12:00:00,,,PLINE300,4.0,cloost23;perrem78,,TR1000,31199/30079,1000.0,TR1000,both
