,FO_ROW_ID,DATE_TIME_STAMP_Begin,DATE_TIME_STAMP_End,EVENT_ROW_ID_Begin,EVENT_ROW_ID_End,ResTk,USER_ID_Start,USER_ID_End,WBS
1,3860.0,2022-11-04 18:08:00,2022-11-04 23:01:00,946538265.0,946590257.0,4168337,gooris43,gooris43,32299/31838
2,3860.0,2022-11-07 07:15:00,2022-11-07 14:52:00,946974091.0,947068658.0,4168613,gompou79,gompou79,32299/31838
3,3860.0,2022-11-07 20:59:00,2022-11-08 00:04:00,947177717.0,947210923.0,4169181,gooris43,cooman32,32299/01959
4,3860.0,2022-11-08 12:26:00,2022-11-08 15:39:00,947333115.0,947396036.0,4169051,gompou79,werion23,36003/36503
5,3860.0,2022-11-09 14:12:00,2022-11-09 19:10:00,947671528.0,947766656.0,4169305,gooris43,gooris43,98300/14175
1,3860.0,2022-11-04 18:08:00,2022-11-04 23:01:00,946538265.0,946590257.0,4168337,gooris43,gooris43,32299/31838
2,3860.0,2022-11-07 07:15:00,2022-11-07 14:52:00,946974091.0,947068658.0,4168613,gompou79,gompou79,32299/31838
3,3860.0,2022-11-07 20:59:00,2022-11-08 00:04:00,947177717.0,947210923.0,4169181,gooris43,cooman32,32299/01959
4,3860.0,2022-11-08 12:26:00,2022-11-08 15:39:00,947333115.0,947396036.0,4169051,gompou79,werion23,36003/36503
5,3860.0,2022-11-09 14:12:00,2022-11-09 19:10:00,947671528.0,947766656.0,4169305,gooris43,gooris43,98300/14175
1,4673.0,2022-10-31 14:37:00,2022-10-31 15:22:00,945482521.0,945498532.0,4166827,tsvetani,tsvetani,38199/01838
2,4673.0,2022-10-31 17:01:00,2022-10-31 18:30:00,945518387.0,945555770.0,4167344,rengo74,rengo74,32499/01906
3,4673.0,2022-11-02 09:36:00,2022-11-02 10:42:00,945779014.0,945799700.0,N/a,redants,redants,98300/01618
4,4673.0,2022-11-03 08:45:00,2022-11-03 09:34:00,946065133.0,946078920.0,N/a,walika29,walika29,39320/36502
5,4673.0,2022-11-03 13:15:00,2022-11-03 14:00:00,946140836.0,946152910.0,4166298,lux,lux,98500/01852
6,4673.0,2022-11-07 09:54:00,2022-11-07 10:23:00,946998799.0,947006141.0,4168514,rupp93,rupp93,97406/01934
7,4673.0,2022-11-07 10:35:00,2022-11-07 12:14:00,947008470.0,947034439.0,4168765,tsvetani,tsvetani,38199/01838
8,4673.0,2022-11-07 14:18:00,2022-11-07 15:10:00,947060876.0,947074207.0,4168896,vais,vais,97700/01345
9,4673.0,2022-11-09 06:33:00,2022-11-09 09:25:00,947553070.0,947588401.0,4169250,maes72,maes72,98300/14175
10,4673.0,2022-11-09 09:47:00,2022-11-09 11:22:00,947594736.0,947625339.0,4169313,willegem,willegem,97401/01743
11,4673.0,2022-11-09 11:43:00,2022-11-09 12:21:00,947633461.0,947650813.0,4166458,vais,vais,97401/01743
12,4673.0,2022-11-09 14:13:00,2022-11-09 16:06:00,947671838.0,947705522.0,4169521,cochet,cochet,32299/00013
13,4673.0,2022-11-10 15:11:00,2022-11-10 17:16:00,947969355.0,948007985.0,4169920,willegem,willegem,97401/01743
14,4673.0,2022-11-14 07:16:00,2022-11-14 09:12:00,948242611.0,948270741.0,4170514,cochet,cochet,32299/00013
15,4673.0,2022-11-14 09:32:00,2022-11-14 11:22:00,948276839.0,948315408.0,4170097,leruth67,leruth67,44999/01882
1,4673.0,2022-10-31 14:37:00,2022-10-31 15:22:00,945482521.0,945498532.0,4166827,tsvetani,tsvetani,38199/01838
2,4673.0,2022-10-31 17:01:00,2022-10-31 18:30:00,945518387.0,945555770.0,4167344,rengo74,rengo74,32499/01906
3,4673.0,2022-11-02 09:36:00,2022-11-02 10:42:00,945779014.0,945799700.0,N/a,redants,redants,98300/01618
4,4673.0,2022-11-03 08:45:00,2022-11-03 09:34:00,946065133.0,946078920.0,N/a,walika29,walika29,39320/36502
5,4673.0,2022-11-03 13:15:00,2022-11-03 14:00:00,946140836.0,946152910.0,4166298,lux,lux,98500/01852
6,4673.0,2022-11-07 09:54:00,2022-11-07 10:23:00,946998799.0,947006141.0,4168514,rupp93,rupp93,97406/01934
7,4673.0,2022-11-07 10:35:00,2022-11-07 12:14:00,947008470.0,947034439.0,4168765,tsvetani,tsvetani,38199/01838
8,4673.0,2022-11-07 14:18:00,2022-11-07 15:10:00,947060876.0,947074207.0,4168896,vais,vais,97700/01345
9,4673.0,2022-11-09 06:33:00,2022-11-09 09:25:00,947553070.0,947588401.0,4169250,maes72,maes72,98300/14175
10,4673.0,2022-11-09 09:47:00,2022-11-09 11:22:00,947594736.0,947625339.0,4169313,willegem,willegem,97401/01743
11,4673.0,2022-11-09 11:43:00,2022-11-09 12:21:00,947633461.0,947650813.0,4166458,vais,vais,97401/01743
