WBS,FACILITY,Tool,Fab300_Res_id,FAB300_BeginEnd,DateTime,IIO_Res_id,IIO_BeginEnd,Fab300_Res_id_UP,Fab300_Res_id_DOWN,IIO_Res_id_UP,IIO_Res_id_DOWN
98850/02081,PLINE300,LAM_E6,,,02/11/2022 17:00,883,Begin,381,,883,883
98850/02081,PLINE300,LAM_E6,,,02/11/2022 17:00,884,Begin,381,,884,884
98850/02081,PLINE300,LAM_E6,381,Begin,02/11/2022 17:08,,,381,381,885,884
98850/02081,PLINE300,LAM_E6,,,02/11/2022 17:30,885,Begin,381,381,885,885
98850/02081,PLINE300,LAM_E6,,,02/11/2022 17:30,883,End,381,381,883,883
98850/02081,PLINE300,LAM_E6,381,End,02/11/2022 17:33,,,381,381,884,883
98850/02081,PLINE300,LAM_E6,,,02/11/2022 18:30,884,End,382,381,884,884
98850/02081,PLINE300,LAM_E6,,,02/11/2022 18:30,885,End,382,381,885,885
98850/02081,PLINE300,LAM_E6,,,03/11/2022 16:30,886,Begin,382,381,886,886
98850/02081,PLINE300,LAM_E6,382,Begin,03/11/2022 16:51,,,382,382,887,886
98850/02081,PLINE300,LAM_E6,382,End,03/11/2022 16:51,,,382,382,887,886
98850/02081,PLINE300,LAM_E6,383,Begin,03/11/2022 16:51,,,383,383,887,886
98850/02081,PLINE300,LAM_E6,,,03/11/2022 17:30,887,Begin,383,383,887,887
98850/02081,PLINE300,LAM_E6,,,03/11/2022 17:30,886,End,383,383,886,886
98850/02081,PLINE300,LAM_E6,383,End,03/11/2022 18:07,,,383,383,887,886
98850/02081,PLINE300,LAM_E6,,,03/11/2022 18:30,887,End,385,383,887,887
98850/02081,PLINE300,LAM_E6,,,08/11/2022 15:30,888,Begin,385,383,888,888
98850/02081,PLINE300,LAM_E6,,,08/11/2022 16:00,889,Begin,385,383,889,889
98850/02081,PLINE300,LAM_E6,,,08/11/2022 16:00,888,End,385,383,888,888
98850/02081,PLINE300,LAM_E6,385,Begin,08/11/2022 16:03,,,385,385,889,888
98850/02081,PLINE300,LAM_E6,,,08/11/2022 17:00,889,End,385,385,889,889
98850/02081,PLINE300,LAM_E6,385,End,08/11/2022 17:11,,,385,385,890,889
98850/02081,PLINE300,LAM_E6,,,10/11/2022 16:00,890,Begin,388,385,890,890
98850/02081,PLINE300,LAM_E6,,,10/11/2022 17:30,890,End,388,385,890,890
98850/02081,PLINE300,LAM_E6,,,15/11/2022 16:00,891,Begin,388,385,891,891
98850/02081,PLINE300,LAM_E6,388,Begin,15/11/2022 16:00,,,388,388,891,891
98850/02081,PLINE300,LAM_E6,,,15/11/2022 17:00,891,End,388,388,891,891
98850/02081,PLINE300,LAM_E6,388,End,15/11/2022 18:13,,,388,388,892,891
98850/02081,PLINE300,LAM_E6,,,17/11/2022 9:00,892,Begin,391,388,892,892
98850/02081,PLINE300,LAM_E6,391,Begin,17/11/2022 9:05,,,391,391,892,892
98850/02081,PLINE300,LAM_E6,391,End,17/11/2022 11:19,,,391,391,892,892
98850/02081,PLINE300,LAM_E6,,,17/11/2022 11:30,892,End,,391,892,892
98850/02081,PLINE300,LAM_E6,,,18/11/2022 6:00,893,Begin,,391,893,893
98850/02081,PLINE300,LAM_E6,,,18/11/2022 9:00,893,End,,391,893,893
