,FAB300_BeginEnd,DateTime,IIO_Res_id,IIO_BeginEnd,Fab300_Res_id,Fab300_Res_id_UP,Fab300_Res_id_DOWN,IIO_Res_id_UP,IIO_Res_id_DOWN
3526,,2023-01-10 14:00:00,1752.0,Begin,,14.0,,1752.0,1752.0
6020,,2023-01-10 15:00:00,1752.0,End,,14.0,,1752.0,1752.0
3527,,2023-01-11 10:00:00,1753.0,Begin,,14.0,,1753.0,1753.0
6021,,2023-01-11 11:00:00,1753.0,End,,14.0,,1753.0,1753.0
3528,,2023-01-13 10:00:00,1754.0,Begin,,14.0,,1754.0,1754.0
14,Begin,2023-01-13 10:22:00,,,14.0,14.0,14.0,1754.0,1754.0
6022,,2023-01-13 11:00:00,1754.0,End,,14.0,14.0,1754.0,1754.0
901,End,2023-01-13 11:04:00,,,14.0,14.0,14.0,1755.0,1754.0
3529,,2023-01-16 10:00:00,1755.0,Begin,,17.0,14.0,1755.0,1755.0
6023,,2023-01-16 11:00:00,1755.0,End,,17.0,14.0,1755.0,1755.0
3530,,2023-01-16 16:00:00,1756.0,Begin,,17.0,14.0,1756.0,1756.0
6024,,2023-01-16 17:00:00,1756.0,End,,17.0,14.0,1756.0,1756.0
3531,,2023-01-17 10:00:00,1757.0,Begin,,17.0,14.0,1757.0,1757.0
17,Begin,2023-01-17 10:23:00,,,17.0,17.0,17.0,1757.0,1757.0
904,End,2023-01-17 10:37:00,,,17.0,17.0,17.0,1757.0,1757.0
6025,,2023-01-17 11:00:00,1757.0,End,,20.0,17.0,1757.0,1757.0
20,Begin,2023-01-18 09:46:00,,,20.0,20.0,20.0,1758.0,1757.0
3532,,2023-01-18 10:00:00,1758.0,Begin,,20.0,20.0,1758.0,1758.0
907,End,2023-01-18 10:12:00,,,20.0,20.0,20.0,1758.0,1758.0
6026,,2023-01-18 11:00:00,1758.0,End,,11.0,20.0,1758.0,1758.0
11,Begin,2023-10-01 14:05:00,,,11.0,11.0,11.0,,1758.0
898,End,2023-10-01 14:31:00,,,11.0,11.0,11.0,,1758.0
12,Begin,2023-11-01 10:10:00,,,12.0,12.0,12.0,,1758.0
899,End,2023-11-01 11:28:00,,,12.0,12.0,12.0,,1758.0
