,FAB300_BeginEnd,DateTime,IIO_Res_id,IIO_BeginEnd,Fab300_Res_id,Fab300_Res_id_UP,Fab300_Res_id_DOWN,IIO_Res_id_UP,IIO_Res_id_DOWN
2384,,2023-01-10 14:00:00,390.0,Begin,,599.0,,390.0,390.0
599,Begin,2023-01-10 14:05:36,,,599.0,599.0,599.0,390.0,390.0
1486,End,2023-01-10 14:31:42,,,599.0,599.0,599.0,390.0,390.0
4878,,2023-01-10 15:00:00,390.0,End,,600.0,599.0,390.0,390.0
2472,,2023-01-11 10:00:00,391.0,Begin,,600.0,599.0,391.0,391.0
600,Begin,2023-01-11 10:10:01,,,600.0,600.0,600.0,391.0,391.0
4966,,2023-01-11 11:00:00,391.0,End,,600.0,600.0,391.0,391.0
1487,End,2023-01-11 11:28:15,,,600.0,600.0,600.0,392.0,391.0
2753,,2023-01-13 10:00:00,392.0,Begin,,602.0,600.0,392.0,392.0
602,Begin,2023-01-13 10:22:38,,,602.0,602.0,602.0,392.0,392.0
5247,,2023-01-13 11:00:00,392.0,End,,602.0,602.0,392.0,392.0
1489,End,2023-01-13 11:04:17,,,602.0,602.0,602.0,393.0,392.0
2956,,2023-01-16 10:00:00,393.0,Begin,,607.0,602.0,393.0,393.0
5450,,2023-01-16 11:00:00,393.0,End,,607.0,602.0,393.0,393.0
3022,,2023-01-16 16:00:00,394.0,Begin,,607.0,602.0,394.0,394.0
5516,,2023-01-16 17:00:00,394.0,End,,607.0,602.0,394.0,394.0
3087,,2023-01-17 10:00:00,395.0,Begin,,607.0,602.0,395.0,395.0
607,Begin,2023-01-17 10:23:38,,,607.0,607.0,607.0,395.0,395.0
1494,End,2023-01-17 10:37:31,,,607.0,607.0,607.0,395.0,395.0
5581,,2023-01-17 11:00:00,395.0,End,,610.0,607.0,395.0,395.0
610,Begin,2023-01-18 09:46:45,,,610.0,610.0,610.0,396.0,395.0
3246,,2023-01-18 10:00:00,396.0,Begin,,610.0,610.0,396.0,396.0
1497,End,2023-01-18 10:12:34,,,610.0,610.0,610.0,396.0,396.0
5740,,2023-01-18 11:00:00,396.0,End,,,610.0,396.0,396.0
