,WBS,FACILITY,Tool,Fab300_Res_id,FAB300_BeginEnd,DateTime,FAB_IIO_Flag,IIO_Res_id,IIO_BeginEnd
11,30990/32063,PLINE300,SCD100,11.0,Begin,2023-10-01 14:05:00,FAB,,
12,30990/32063,PLINE300,SCD100,12.0,Begin,2023-11-01 10:10:00,FAB,,
14,30990/32063,PLINE300,SCD100,14.0,Begin,2023-01-13 10:22:00,FAB,,
17,30990/32063,PLINE300,SCD100,17.0,Begin,2023-01-17 10:23:00,FAB,,
20,30990/32063,PLINE300,SCD100,20.0,Begin,2023-01-18 09:46:00,FAB,,
898,30990/32063,PLINE300,SCD100,11.0,End,2023-10-01 14:31:00,FAB,,
899,30990/32063,PLINE300,SCD100,12.0,End,2023-11-01 11:28:00,FAB,,
901,30990/32063,PLINE300,SCD100,14.0,End,2023-01-13 11:04:00,FAB,,
904,30990/32063,PLINE300,SCD100,17.0,End,2023-01-17 10:37:00,FAB,,
907,30990/32063,PLINE300,SCD100,20.0,End,2023-01-18 10:12:00,FAB,,
3526,30990/32063,PLINE300,SCD100,,,2023-01-10 14:00:00,IIO,1752.0,Begin
3527,30990/32063,PLINE300,SCD100,,,2023-01-11 10:00:00,IIO,1753.0,Begin
3528,30990/32063,PLINE300,SCD100,,,2023-01-13 10:00:00,IIO,1754.0,Begin
3529,30990/32063,PLINE300,SCD100,,,2023-01-16 10:00:00,IIO,1755.0,Begin
3530,30990/32063,PLINE300,SCD100,,,2023-01-16 16:00:00,IIO,1756.0,Begin
3531,30990/32063,PLINE300,SCD100,,,2023-01-17 10:00:00,IIO,1757.0,Begin
3532,30990/32063,PLINE300,SCD100,,,2023-01-18 10:00:00,IIO,1758.0,Begin
6020,30990/32063,PLINE300,SCD100,,,2023-01-10 15:00:00,IIO,1752.0,End
6021,30990/32063,PLINE300,SCD100,,,2023-01-11 11:00:00,IIO,1753.0,End
6022,30990/32063,PLINE300,SCD100,,,2023-01-13 11:00:00,IIO,1754.0,End
6023,30990/32063,PLINE300,SCD100,,,2023-01-16 11:00:00,IIO,1755.0,End
6024,30990/32063,PLINE300,SCD100,,,2023-01-16 17:00:00,IIO,1756.0,End
6025,30990/32063,PLINE300,SCD100,,,2023-01-17 11:00:00,IIO,1757.0,End
6026,30990/32063,PLINE300,SCD100,,,2023-01-18 11:00:00,IIO,1758.0,End
