,WBS,FACILITY,Tool,Fab300_Res_id,FAB300_BeginEnd,DateTime,FAB_IIO_Flag,IIO_Res_id,IIO_BeginEnd
599,30990/32063,PLINE300,SCD100,599.0,Begin,2023-01-10 14:05:36,FAB,,
600,30990/32063,PLINE300,SCD100,600.0,Begin,2023-01-11 10:10:01,FAB,,
602,30990/32063,PLINE300,SCD100,602.0,Begin,2023-01-13 10:22:38,FAB,,
607,30990/32063,PLINE300,SCD100,607.0,Begin,2023-01-17 10:23:38,FAB,,
610,30990/32063,PLINE300,SCD100,610.0,Begin,2023-01-18 09:46:45,FAB,,
1486,30990/32063,PLINE300,SCD100,599.0,End,2023-01-10 14:31:42,FAB,,
1487,30990/32063,PLINE300,SCD100,600.0,End,2023-01-11 11:28:15,FAB,,
1489,30990/32063,PLINE300,SCD100,602.0,End,2023-01-13 11:04:17,FAB,,
1494,30990/32063,PLINE300,SCD100,607.0,End,2023-01-17 10:37:31,FAB,,
1497,30990/32063,PLINE300,SCD100,610.0,End,2023-01-18 10:12:34,FAB,,
2384,30990/32063,PLINE300,SCD100,,,2023-01-10 14:00:00,IIO,390.0,Begin
2472,30990/32063,PLINE300,SCD100,,,2023-01-11 10:00:00,IIO,391.0,Begin
2753,30990/32063,PLINE300,SCD100,,,2023-01-13 10:00:00,IIO,392.0,Begin
2956,30990/32063,PLINE300,SCD100,,,2023-01-16 10:00:00,IIO,393.0,Begin
3022,30990/32063,PLINE300,SCD100,,,2023-01-16 16:00:00,IIO,394.0,Begin
3087,30990/32063,PLINE300,SCD100,,,2023-01-17 10:00:00,IIO,395.0,Begin
3246,30990/32063,PLINE300,SCD100,,,2023-01-18 10:00:00,IIO,396.0,Begin
4878,30990/32063,PLINE300,SCD100,,,2023-01-10 15:00:00,IIO,390.0,End
4966,30990/32063,PLINE300,SCD100,,,2023-01-11 11:00:00,IIO,391.0,End
5247,30990/32063,PLINE300,SCD100,,,2023-01-13 11:00:00,IIO,392.0,End
5450,30990/32063,PLINE300,SCD100,,,2023-01-16 11:00:00,IIO,393.0,End
5516,30990/32063,PLINE300,SCD100,,,2023-01-16 17:00:00,IIO,394.0,End
5581,30990/32063,PLINE300,SCD100,,,2023-01-17 11:00:00,IIO,395.0,End
5740,30990/32063,PLINE300,SCD100,,,2023-01-18 11:00:00,IIO,396.0,End
